user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
00dd2520-708c-483a-b319-62b9a94c42bc,DeviceInfo,application,2026-01-08 13:53:05.501000+05:30,08-01-2026,Thursday,'13:53:05.501000
00dd2520-708c-483a-b319-62b9a94c42bc,Session Started,system,2026-01-08 13:53:05.773000+05:30,08-01-2026,Thursday,'13:53:05.773000
00dd2520-708c-483a-b319-62b9a94c42bc,App Installed,system,2026-01-08 13:53:05.821000+05:30,08-01-2026,Thursday,'13:53:05.821000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 13:53:06.503000+05:30,08-01-2026,Thursday,'13:53:06.503000
00dd2520-708c-483a-b319-62b9a94c42bc,app_start,application,2026-01-08 13:53:06.893000+05:30,08-01-2026,Thursday,'13:53:06.893000
00dd2520-708c-483a-b319-62b9a94c42bc,Push Subscribe Process - Device Registered (Push),system,2026-01-08 13:53:07.484000+05:30,08-01-2026,Thursday,'13:53:07.484000
00dd2520-708c-483a-b319-62b9a94c42bc,choose_language,application,2026-01-08 13:53:09.777000+05:30,08-01-2026,Thursday,'13:53:09.777000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_Language,application,2026-01-08 13:53:09.791000+05:30,08-01-2026,Thursday,'13:53:09.791000
00dd2520-708c-483a-b319-62b9a94c42bc,choose_language,application,2026-01-08 13:53:09.818000+05:30,08-01-2026,Thursday,'13:53:09.818000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_Language,application,2026-01-08 13:53:09.831000+05:30,08-01-2026,Thursday,'13:53:09.831000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Ended,system,2026-01-08 13:53:10.911000+05:30,08-01-2026,Thursday,'13:53:10.911000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 13:53:10.911000+05:30,08-01-2026,Thursday,'13:53:10.911000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Ended,system,2026-01-08 13:53:10.914000+05:30,08-01-2026,Thursday,'13:53:10.914000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 13:53:10.914000+05:30,08-01-2026,Thursday,'13:53:10.914000
00dd2520-708c-483a-b319-62b9a94c42bc,generate_otp,application,2026-01-08 13:53:16.406000+05:30,08-01-2026,Thursday,'13:53:16.406000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_get_otp,application,2026-01-08 13:53:16.419000+05:30,08-01-2026,Thursday,'13:53:16.419000
00dd2520-708c-483a-b319-62b9a94c42bc,_auth_generate-otp,application,2026-01-08 13:53:18.181000+05:30,08-01-2026,Thursday,'13:53:18.181000
00dd2520-708c-483a-b319-62b9a94c42bc,get_otp,application,2026-01-08 13:53:18.193000+05:30,08-01-2026,Thursday,'13:53:18.193000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_signup_,application,2026-01-08 13:53:18.210000+05:30,08-01-2026,Thursday,'13:53:18.210000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_backpressed,application,2026-01-08 13:56:26.968000+05:30,08-01-2026,Thursday,'13:56:26.968000
00dd2520-708c-483a-b319-62b9a94c42bc,generate_otp,application,2026-01-08 13:57:40.555000+05:30,08-01-2026,Thursday,'13:57:40.555000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_get_otp,application,2026-01-08 13:57:40.571000+05:30,08-01-2026,Thursday,'13:57:40.571000
00dd2520-708c-483a-b319-62b9a94c42bc,_auth_generate-otp,application,2026-01-08 13:57:41.145000+05:30,08-01-2026,Thursday,'13:57:41.145000
00dd2520-708c-483a-b319-62b9a94c42bc,get_otp,application,2026-01-08 13:57:41.163000+05:30,08-01-2026,Thursday,'13:57:41.163000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_signup_,application,2026-01-08 13:57:41.178000+05:30,08-01-2026,Thursday,'13:57:41.178000
00dd2520-708c-483a-b319-62b9a94c42bc,Session Started,system,2026-01-08 17:41:58.918000+05:30,08-01-2026,Thursday,'17:41:58.918000
00dd2520-708c-483a-b319-62b9a94c42bc,choose_language,application,2026-01-08 17:42:03.494000+05:30,08-01-2026,Thursday,'17:42:03.494000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_Language,application,2026-01-08 17:42:03.506000+05:30,08-01-2026,Thursday,'17:42:03.506000
00dd2520-708c-483a-b319-62b9a94c42bc,choose_language,application,2026-01-08 17:42:03.520000+05:30,08-01-2026,Thursday,'17:42:03.520000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_Language,application,2026-01-08 17:42:03.532000+05:30,08-01-2026,Thursday,'17:42:03.532000
00dd2520-708c-483a-b319-62b9a94c42bc,choose_language,application,2026-01-08 17:42:03.546000+05:30,08-01-2026,Thursday,'17:42:03.546000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_Language,application,2026-01-08 17:42:03.564000+05:30,08-01-2026,Thursday,'17:42:03.564000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 17:42:04.374000+05:30,08-01-2026,Thursday,'17:42:04.374000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Ended,system,2026-01-08 17:42:04.374000+05:30,08-01-2026,Thursday,'17:42:04.374000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 17:42:04.440000+05:30,08-01-2026,Thursday,'17:42:04.440000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Ended,system,2026-01-08 17:42:04.441000+05:30,08-01-2026,Thursday,'17:42:04.441000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 17:42:04.444000+05:30,08-01-2026,Thursday,'17:42:04.444000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Ended,system,2026-01-08 17:42:04.444000+05:30,08-01-2026,Thursday,'17:42:04.444000
00dd2520-708c-483a-b319-62b9a94c42bc,generate_otp,application,2026-01-08 17:42:16.474000+05:30,08-01-2026,Thursday,'17:42:16.474000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_get_otp,application,2026-01-08 17:42:16.485000+05:30,08-01-2026,Thursday,'17:42:16.485000
00dd2520-708c-483a-b319-62b9a94c42bc,_auth_generate-otp,application,2026-01-08 17:42:18.139000+05:30,08-01-2026,Thursday,'17:42:18.139000
00dd2520-708c-483a-b319-62b9a94c42bc,get_otp,application,2026-01-08 17:42:18.154000+05:30,08-01-2026,Thursday,'17:42:18.154000
00dd2520-708c-483a-b319-62b9a94c42bc,Onboarding_signup_,application,2026-01-08 17:42:18.181000+05:30,08-01-2026,Thursday,'17:42:18.181000
00dd2520-708c-483a-b319-62b9a94c42bc,verify_otp,application,2026-01-08 17:42:21.026000+05:30,08-01-2026,Thursday,'17:42:21.026000
00dd2520-708c-483a-b319-62b9a94c42bc,_auth_verify-otp,application,2026-01-08 17:42:21.410000+05:30,08-01-2026,Thursday,'17:42:21.410000
00dd2520-708c-483a-b319-62b9a94c42bc,enter_otp,application,2026-01-08 17:42:21.433000+05:30,08-01-2026,Thursday,'17:42:21.433000
00dd2520-708c-483a-b319-62b9a94c42bc,User Login,system,2026-01-08 17:42:21.452000+05:30,08-01-2026,Thursday,'17:42:21.452000
00dd2520-708c-483a-b319-62b9a94c42bc,login,application,2026-01-08 17:42:22.347000+05:30,08-01-2026,Thursday,'17:42:22.347000
00dd2520-708c-483a-b319-62b9a94c42bc,_user,application,2026-01-08 17:42:22.357000+05:30,08-01-2026,Thursday,'17:42:22.357000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_from-town,application,2026-01-08 17:42:22.712000+05:30,08-01-2026,Thursday,'17:42:22.712000
00dd2520-708c-483a-b319-62b9a94c42bc,_user_device,application,2026-01-08 17:42:24.731000+05:30,08-01-2026,Thursday,'17:42:24.731000
00dd2520-708c-483a-b319-62b9a94c42bc,_user,application,2026-01-08 17:42:24.742000+05:30,08-01-2026,Thursday,'17:42:24.742000
00dd2520-708c-483a-b319-62b9a94c42bc,_history_recommended-journey,application,2026-01-08 17:42:24.753000+05:30,08-01-2026,Thursday,'17:42:24.753000
00dd2520-708c-483a-b319-62b9a94c42bc,_user,application,2026-01-08 17:42:25.126000+05:30,08-01-2026,Thursday,'17:42:25.126000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_special-town-search,application,2026-01-08 17:42:25.142000+05:30,08-01-2026,Thursday,'17:42:25.142000
00dd2520-708c-483a-b319-62b9a94c42bc,_ticket,application,2026-01-08 17:42:25.375000+05:30,08-01-2026,Thursday,'17:42:25.375000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_special-town-search,application,2026-01-08 17:42:31.253000+05:30,08-01-2026,Thursday,'17:42:31.253000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_elastic-town-search,application,2026-01-08 17:42:31.499000+05:30,08-01-2026,Thursday,'17:42:31.499000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_special-town-search,application,2026-01-08 17:42:52.349000+05:30,08-01-2026,Thursday,'17:42:52.349000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_elastic-town-search,application,2026-01-08 17:42:52.494000+05:30,08-01-2026,Thursday,'17:42:52.494000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_special-town-search,application,2026-01-08 17:43:22.290000+05:30,08-01-2026,Thursday,'17:43:22.290000
00dd2520-708c-483a-b319-62b9a94c42bc,_location_elastic-town-search,application,2026-01-08 17:43:26.256000+05:30,08-01-2026,Thursday,'17:43:26.256000
00dd2520-708c-483a-b319-62b9a94c42bc,Buslist_date change,application,2026-01-08 17:43:45.743000+05:30,08-01-2026,Thursday,'17:43:45.743000
00dd2520-708c-483a-b319-62b9a94c42bc,_user,application,2026-01-08 17:43:46.395000+05:30,08-01-2026,Thursday,'17:43:46.395000
00dd2520-708c-483a-b319-62b9a94c42bc,pageview_bus_list,application,2026-01-08 17:43:46.422000+05:30,08-01-2026,Thursday,'17:43:46.422000
00dd2520-708c-483a-b319-62b9a94c42bc,_bus-search_user-bus-search,application,2026-01-08 17:43:46.908000+05:30,08-01-2026,Thursday,'17:43:46.908000
00dd2520-708c-483a-b319-62b9a94c42bc,_bus-search_list,application,2026-01-08 17:43:48.603000+05:30,08-01-2026,Thursday,'17:43:48.603000
00dd2520-708c-483a-b319-62b9a94c42bc,_rewards_best-V2,application,2026-01-08 17:43:49.065000+05:30,08-01-2026,Thursday,'17:43:49.065000
00dd2520-708c-483a-b319-62b9a94c42bc,Buslist_date change,application,2026-01-08 17:43:49.090000+05:30,08-01-2026,Thursday,'17:43:49.090000
00dd2520-708c-483a-b319-62b9a94c42bc,bus_search,application,2026-01-08 17:43:49.116000+05:30,08-01-2026,Thursday,'17:43:49.116000
00dd2520-708c-483a-b319-62b9a94c42bc,bus_result,application,2026-01-08 17:43:49.124000+05:30,08-01-2026,Thursday,'17:43:49.124000
00dd2520-708c-483a-b319-62b9a94c42bc,Buslist_Live Chat Icon,application,2026-01-08 17:43:55.986000+05:30,08-01-2026,Thursday,'17:43:55.986000
00dd2520-708c-483a-b319-62b9a94c42bc,enquire_now,application,2026-01-08 17:43:56.036000+05:30,08-01-2026,Thursday,'17:43:56.036000
00dd2520-708c-483a-b319-62b9a94c42bc,Journey Started,system,2026-01-08 17:43:56.647000+05:30,08-01-2026,Thursday,'17:43:56.647000
00dd2520-708c-483a-b319-62b9a94c42bc,Buslist_date change,application,2026-01-08 17:44:14.158000+05:30,08-01-2026,Thursday,'17:44:14.158000
00dd2520-708c-483a-b319-62b9a94c42bc,_user,application,2026-01-08 17:44:14.381000+05:30,08-01-2026,Thursday,'17:44:14.381000
00dd2520-708c-483a-b319-62b9a94c42bc,_bus-search_user-bus-search,application,2026-01-08 17:44:14.394000+05:30,08-01-2026,Thursday,'17:44:14.394000
00dd2520-708c-483a-b319-62b9a94c42bc,pageview_bus_list,application,2026-01-08 17:44:14.525000+05:30,08-01-2026,Thursday,'17:44:14.525000
00dd2520-708c-483a-b319-62b9a94c42bc,_bus-search_list,application,2026-01-08 17:44:15.710000+05:30,08-01-2026,Thursday,'17:44:15.710000
00dd2520-708c-483a-b319-62b9a94c42bc,_rewards_best-V2,application,2026-01-08 17:44:15.883000+05:30,08-01-2026,Thursday,'17:44:15.883000
00dd2520-708c-483a-b319-62b9a94c42bc,Buslist_date change,application,2026-01-08 17:44:15.901000+05:30,08-01-2026,Thursday,'17:44:15.901000
00dd2520-708c-483a-b319-62b9a94c42bc,bus_search,application,2026-01-08 17:44:15.919000+05:30,08-01-2026,Thursday,'17:44:15.919000
