user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,DeviceInfo,application,2026-01-15 20:29:56.256000+05:30,2026-01-15,Thursday,'20:29:56.256000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Session Started,system,2026-01-15 20:29:56.940000+05:30,2026-01-15,Thursday,'20:29:56.940000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,App Installed,system,2026-01-15 20:29:57.506000+05:30,2026-01-15,Thursday,'20:29:57.506000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,app_start,application,2026-01-15 20:29:57.674000+05:30,2026-01-15,Thursday,'20:29:57.674000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Push Subscribe Process - Device Registered (Push),system,2026-01-15 20:29:57.719000+05:30,2026-01-15,Thursday,'20:29:57.719000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Journey Started,system,2026-01-15 20:29:57.778000+05:30,2026-01-15,Thursday,'20:29:57.778000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,choose_language,application,2026-01-15 20:29:57.926000+05:30,2026-01-15,Thursday,'20:29:57.926000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Onboarding_Language,application,2026-01-15 20:29:57.995000+05:30,2026-01-15,Thursday,'20:29:57.995000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Journey Started,system,2026-01-15 20:29:58.059000+05:30,2026-01-15,Thursday,'20:29:58.059000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Journey Ended,system,2026-01-15 20:29:58.060000+05:30,2026-01-15,Thursday,'20:29:58.060000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,choose_language,application,2026-01-15 20:29:59.125000+05:30,2026-01-15,Thursday,'20:29:59.125000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Onboarding_Language,application,2026-01-15 20:29:59.153000+05:30,2026-01-15,Thursday,'20:29:59.153000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,generate_otp,application,2026-01-15 20:30:14.913000+05:30,2026-01-15,Thursday,'20:30:14.913000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Onboarding_get_otp,application,2026-01-15 20:30:14.971000+05:30,2026-01-15,Thursday,'20:30:14.971000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Journey Ended,system,2026-01-15 20:30:15.596000+05:30,2026-01-15,Thursday,'20:30:15.596000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,Journey Started,system,2026-01-15 20:30:15.596000+05:30,2026-01-15,Thursday,'20:30:15.596000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,_auth_generate-otp,application,2026-01-15 20:30:16.357000+05:30,2026-01-15,Thursday,'20:30:16.357000
6c8f4610-9b86-4e9a-b1e0-f83bdc678d8b,get_otp,application,2026-01-15 20:30:16.378000+05:30,2026-01-15,Thursday,'20:30:16.378000
