user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
eff07d21-2d6d-4374-b956-4a96f1a7526d,DeviceInfo,application,2025-12-31 13:30:09.325000+05:30,2025-12-31,Wednesday,'13:30:09.325000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Session Started,system,2025-12-31 13:30:09.635000+05:30,2025-12-31,Wednesday,'13:30:09.635000
eff07d21-2d6d-4374-b956-4a96f1a7526d,App Installed,system,2025-12-31 13:30:09.664000+05:30,2025-12-31,Wednesday,'13:30:09.664000
eff07d21-2d6d-4374-b956-4a96f1a7526d,app_start,application,2025-12-31 13:30:10.346000+05:30,2025-12-31,Wednesday,'13:30:10.346000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Journey Started,system,2025-12-31 13:30:10.429000+05:30,2025-12-31,Wednesday,'13:30:10.429000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Push Subscribe Process - Device Registered (Push),system,2025-12-31 13:30:11.333000+05:30,2025-12-31,Wednesday,'13:30:11.333000
eff07d21-2d6d-4374-b956-4a96f1a7526d,choose_language,application,2025-12-31 13:30:15.549000+05:30,2025-12-31,Wednesday,'13:30:15.549000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Onboarding_Language,application,2025-12-31 13:30:15.558000+05:30,2025-12-31,Wednesday,'13:30:15.558000
eff07d21-2d6d-4374-b956-4a96f1a7526d,generate_otp,application,2025-12-31 13:30:25.903000+05:30,2025-12-31,Wednesday,'13:30:25.903000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Onboarding_get_otp,application,2025-12-31 13:30:25.920000+05:30,2025-12-31,Wednesday,'13:30:25.920000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_auth_generate-otp,application,2025-12-31 13:30:26.697000+05:30,2025-12-31,Wednesday,'13:30:26.697000
eff07d21-2d6d-4374-b956-4a96f1a7526d,get_otp,application,2025-12-31 13:30:26.707000+05:30,2025-12-31,Wednesday,'13:30:26.707000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Onboarding_signup_,application,2025-12-31 13:30:26.718000+05:30,2025-12-31,Wednesday,'13:30:26.718000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Journey Ended,system,2025-12-31 13:30:27.685000+05:30,2025-12-31,Wednesday,'13:30:27.685000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Journey Started,system,2025-12-31 13:30:27.685000+05:30,2025-12-31,Wednesday,'13:30:27.685000
eff07d21-2d6d-4374-b956-4a96f1a7526d,verify_otp,application,2025-12-31 13:30:29.665000+05:30,2025-12-31,Wednesday,'13:30:29.665000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_auth_verify-otp,application,2025-12-31 13:30:29.825000+05:30,2025-12-31,Wednesday,'13:30:29.825000
eff07d21-2d6d-4374-b956-4a96f1a7526d,enter_otp,application,2025-12-31 13:30:29.873000+05:30,2025-12-31,Wednesday,'13:30:29.873000
eff07d21-2d6d-4374-b956-4a96f1a7526d,User Login,system,2025-12-31 13:30:29.879000+05:30,2025-12-31,Wednesday,'13:30:29.879000
eff07d21-2d6d-4374-b956-4a96f1a7526d,login,application,2025-12-31 13:30:30.192000+05:30,2025-12-31,Wednesday,'13:30:30.192000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user,application,2025-12-31 13:30:30.201000+05:30,2025-12-31,Wednesday,'13:30:30.201000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Onboarding_Profile Saved,application,2025-12-31 13:30:32.023000+05:30,2025-12-31,Wednesday,'13:30:32.023000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_location_from-town,application,2025-12-31 13:30:32.118000+05:30,2025-12-31,Wednesday,'13:30:32.118000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user,application,2025-12-31 13:30:46.993000+05:30,2025-12-31,Wednesday,'13:30:46.993000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user,application,2025-12-31 13:30:48.217000+05:30,2025-12-31,Wednesday,'13:30:48.217000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_history_recommended-journey,application,2025-12-31 13:30:48.276000+05:30,2025-12-31,Wednesday,'13:30:48.276000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user_device,application,2025-12-31 13:30:48.296000+05:30,2025-12-31,Wednesday,'13:30:48.296000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user,application,2025-12-31 13:30:48.309000+05:30,2025-12-31,Wednesday,'13:30:48.309000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_location_from-town,application,2025-12-31 13:30:48.377000+05:30,2025-12-31,Wednesday,'13:30:48.377000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_ticket,application,2025-12-31 13:30:48.467000+05:30,2025-12-31,Wednesday,'13:30:48.467000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_location_special-town-search,application,2025-12-31 13:30:48.637000+05:30,2025-12-31,Wednesday,'13:30:48.637000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_location_special-town-search,application,2025-12-31 13:31:06.765000+05:30,2025-12-31,Wednesday,'13:31:06.765000
eff07d21-2d6d-4374-b956-4a96f1a7526d,Session Started,system,2025-12-31 13:31:45.223000+05:30,2025-12-31,Wednesday,'13:31:45.223000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_user,application,2025-12-31 13:31:46.378000+05:30,2025-12-31,Wednesday,'13:31:46.378000
eff07d21-2d6d-4374-b956-4a96f1a7526d,_history_recommended-journey,application,2025-12-31 13:31:46.408000+05:30,2025-12-31,Wednesday,'13:31:46.408000
