user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,DeviceInfo,application,2026-01-13 03:45:46.654000+05:30,2026-01-13,Tuesday,'03:45:46.654000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Session Started,system,2026-01-13 03:45:47.084000+05:30,2026-01-13,Tuesday,'03:45:47.084000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,App Installed,system,2026-01-13 03:45:47.129000+05:30,2026-01-13,Tuesday,'03:45:47.129000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Journey Started,system,2026-01-13 03:45:48.262000+05:30,2026-01-13,Tuesday,'03:45:48.262000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,app_start,application,2026-01-13 03:45:48.386000+05:30,2026-01-13,Tuesday,'03:45:48.386000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Push Subscribe Process - Device Registered (Push),system,2026-01-13 03:45:49.081000+05:30,2026-01-13,Tuesday,'03:45:49.081000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,choose_language,application,2026-01-13 03:45:51.740000+05:30,2026-01-13,Tuesday,'03:45:51.740000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Onboarding_Language,application,2026-01-13 03:45:51.756000+05:30,2026-01-13,Tuesday,'03:45:51.756000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,generate_otp,application,2026-01-13 03:46:15.258000+05:30,2026-01-13,Tuesday,'03:46:15.258000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Onboarding_get_otp,application,2026-01-13 03:46:15.288000+05:30,2026-01-13,Tuesday,'03:46:15.288000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_auth_generate-otp,application,2026-01-13 03:46:16.203000+05:30,2026-01-13,Tuesday,'03:46:16.203000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,get_otp,application,2026-01-13 03:46:16.215000+05:30,2026-01-13,Tuesday,'03:46:16.215000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Onboarding_signup_,application,2026-01-13 03:46:16.280000+05:30,2026-01-13,Tuesday,'03:46:16.280000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Journey Ended,system,2026-01-13 03:46:16.599000+05:30,2026-01-13,Tuesday,'03:46:16.599000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Journey Started,system,2026-01-13 03:46:16.599000+05:30,2026-01-13,Tuesday,'03:46:16.599000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,verify_otp,application,2026-01-13 03:46:21.335000+05:30,2026-01-13,Tuesday,'03:46:21.335000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_auth_verify-otp,application,2026-01-13 03:46:21.627000+05:30,2026-01-13,Tuesday,'03:46:21.627000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,enter_otp,application,2026-01-13 03:46:21.664000+05:30,2026-01-13,Tuesday,'03:46:21.664000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,User Login,system,2026-01-13 03:46:21.756000+05:30,2026-01-13,Tuesday,'03:46:21.756000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,login,application,2026-01-13 03:46:21.950000+05:30,2026-01-13,Tuesday,'03:46:21.950000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_user,application,2026-01-13 03:46:22.032000+05:30,2026-01-13,Tuesday,'03:46:22.032000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_location_from-town,application,2026-01-13 03:46:22.610000+05:30,2026-01-13,Tuesday,'03:46:22.610000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,Onboarding_Profile Saved,application,2026-01-13 03:46:55.308000+05:30,2026-01-13,Tuesday,'03:46:55.308000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_user,application,2026-01-13 03:46:57.484000+05:30,2026-01-13,Tuesday,'03:46:57.484000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_user,application,2026-01-13 03:47:00.104000+05:30,2026-01-13,Tuesday,'03:47:00.104000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_history_recommended-journey,application,2026-01-13 03:47:00.263000+05:30,2026-01-13,Tuesday,'03:47:00.263000
6f83dc8e-dd7c-4f36-b7a7-3f4a8e5887ef,_user,application,2026-01-13 03:47:00.305000+05:30,2026-01-13,Tuesday,'03:47:00.305000
