user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
09c038a7-799a-484e-a5f1-20ee40f5d813,DeviceInfo,application,2026-01-11 22:37:50.375000+05:30,2026-01-11,Sunday,'22:37:50.375000
09c038a7-799a-484e-a5f1-20ee40f5d813,App Installed,system,2026-01-11 22:37:50.684000+05:30,2026-01-11,Sunday,'22:37:50.684000
09c038a7-799a-484e-a5f1-20ee40f5d813,Session Started,system,2026-01-11 22:37:50.684000+05:30,2026-01-11,Sunday,'22:37:50.684000
09c038a7-799a-484e-a5f1-20ee40f5d813,Journey Started,system,2026-01-11 22:37:50.715000+05:30,2026-01-11,Sunday,'22:37:50.715000
09c038a7-799a-484e-a5f1-20ee40f5d813,Push Subscribe Process - Device Registered (Push),system,2026-01-11 22:37:51.895000+05:30,2026-01-11,Sunday,'22:37:51.895000
09c038a7-799a-484e-a5f1-20ee40f5d813,app_start,application,2026-01-11 22:37:52.396000+05:30,2026-01-11,Sunday,'22:37:52.396000
09c038a7-799a-484e-a5f1-20ee40f5d813,choose_language,application,2026-01-11 22:37:54.634000+05:30,2026-01-11,Sunday,'22:37:54.634000
09c038a7-799a-484e-a5f1-20ee40f5d813,Onboarding_Language,application,2026-01-11 22:37:54.641000+05:30,2026-01-11,Sunday,'22:37:54.641000
09c038a7-799a-484e-a5f1-20ee40f5d813,generate_otp,application,2026-01-11 22:38:01.301000+05:30,2026-01-11,Sunday,'22:38:01.301000
09c038a7-799a-484e-a5f1-20ee40f5d813,Onboarding_get_otp,application,2026-01-11 22:38:01.317000+05:30,2026-01-11,Sunday,'22:38:01.317000
09c038a7-799a-484e-a5f1-20ee40f5d813,Journey Started,system,2026-01-11 22:38:01.393000+05:30,2026-01-11,Sunday,'22:38:01.393000
09c038a7-799a-484e-a5f1-20ee40f5d813,Journey Ended,system,2026-01-11 22:38:01.394000+05:30,2026-01-11,Sunday,'22:38:01.394000
09c038a7-799a-484e-a5f1-20ee40f5d813,_auth_generate-otp,application,2026-01-11 22:38:01.922000+05:30,2026-01-11,Sunday,'22:38:01.922000
09c038a7-799a-484e-a5f1-20ee40f5d813,get_otp,application,2026-01-11 22:38:01.940000+05:30,2026-01-11,Sunday,'22:38:01.940000
09c038a7-799a-484e-a5f1-20ee40f5d813,Onboarding_signup_,application,2026-01-11 22:38:01.964000+05:30,2026-01-11,Sunday,'22:38:01.964000
09c038a7-799a-484e-a5f1-20ee40f5d813,verify_otp,application,2026-01-11 22:38:04.303000+05:30,2026-01-11,Sunday,'22:38:04.303000
09c038a7-799a-484e-a5f1-20ee40f5d813,_auth_verify-otp,application,2026-01-11 22:38:04.505000+05:30,2026-01-11,Sunday,'22:38:04.505000
09c038a7-799a-484e-a5f1-20ee40f5d813,enter_otp,application,2026-01-11 22:38:04.550000+05:30,2026-01-11,Sunday,'22:38:04.550000
09c038a7-799a-484e-a5f1-20ee40f5d813,User Login,system,2026-01-11 22:38:04.591000+05:30,2026-01-11,Sunday,'22:38:04.591000
09c038a7-799a-484e-a5f1-20ee40f5d813,login,application,2026-01-11 22:38:04.700000+05:30,2026-01-11,Sunday,'22:38:04.700000
09c038a7-799a-484e-a5f1-20ee40f5d813,_user,application,2026-01-11 22:38:04.737000+05:30,2026-01-11,Sunday,'22:38:04.737000
09c038a7-799a-484e-a5f1-20ee40f5d813,Onboarding_Profile Saved,application,2026-01-11 22:38:05.825000+05:30,2026-01-11,Sunday,'22:38:05.825000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_from-town,application,2026-01-11 22:38:05.825000+05:30,2026-01-11,Sunday,'22:38:05.825000
09c038a7-799a-484e-a5f1-20ee40f5d813,_user,application,2026-01-11 22:38:12.995000+05:30,2026-01-11,Sunday,'22:38:12.995000
09c038a7-799a-484e-a5f1-20ee40f5d813,_user,application,2026-01-11 22:38:15.275000+05:30,2026-01-11,Sunday,'22:38:15.275000
09c038a7-799a-484e-a5f1-20ee40f5d813,_user_device,application,2026-01-11 22:38:15.346000+05:30,2026-01-11,Sunday,'22:38:15.346000
09c038a7-799a-484e-a5f1-20ee40f5d813,_history_recommended-journey,application,2026-01-11 22:38:15.360000+05:30,2026-01-11,Sunday,'22:38:15.360000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_from-town,application,2026-01-11 22:38:15.436000+05:30,2026-01-11,Sunday,'22:38:15.436000
09c038a7-799a-484e-a5f1-20ee40f5d813,_user,application,2026-01-11 22:38:15.436000+05:30,2026-01-11,Sunday,'22:38:15.436000
09c038a7-799a-484e-a5f1-20ee40f5d813,_ticket,application,2026-01-11 22:38:15.720000+05:30,2026-01-11,Sunday,'22:38:15.720000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_special-town-search,application,2026-01-11 22:38:15.772000+05:30,2026-01-11,Sunday,'22:38:15.772000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_special-town-search,application,2026-01-11 22:38:16.530000+05:30,2026-01-11,Sunday,'22:38:16.530000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:16.632000+05:30,2026-01-11,Sunday,'22:38:16.632000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:18.245000+05:30,2026-01-11,Sunday,'22:38:18.245000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:18.693000+05:30,2026-01-11,Sunday,'22:38:18.693000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:22.024000+05:30,2026-01-11,Sunday,'22:38:22.024000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:22.132000+05:30,2026-01-11,Sunday,'22:38:22.132000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:22.291000+05:30,2026-01-11,Sunday,'22:38:22.291000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:22.361000+05:30,2026-01-11,Sunday,'22:38:22.361000
09c038a7-799a-484e-a5f1-20ee40f5d813,_location_elastic-town-search,application,2026-01-11 22:38:22.609000+05:30,2026-01-11,Sunday,'22:38:22.609000
