user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
59805bdd-dd4a-4063-b211-33e09dc529f8,DeviceInfo,application,2026-01-09 15:23:19.906000+05:30,2026-01-09,Friday,'15:23:19.906000
59805bdd-dd4a-4063-b211-33e09dc529f8,Session Started,system,2026-01-09 15:23:20.422000+05:30,2026-01-09,Friday,'15:23:20.422000
59805bdd-dd4a-4063-b211-33e09dc529f8,App Installed,system,2026-01-09 15:23:20.518000+05:30,2026-01-09,Friday,'15:23:20.518000
59805bdd-dd4a-4063-b211-33e09dc529f8,app_start,application,2026-01-09 15:23:20.562000+05:30,2026-01-09,Friday,'15:23:20.562000
59805bdd-dd4a-4063-b211-33e09dc529f8,Push Subscribe Process - Device Registered (Push),system,2026-01-09 15:23:20.622000+05:30,2026-01-09,Friday,'15:23:20.622000
59805bdd-dd4a-4063-b211-33e09dc529f8,Journey Started,system,2026-01-09 15:23:22.652000+05:30,2026-01-09,Friday,'15:23:22.652000
59805bdd-dd4a-4063-b211-33e09dc529f8,choose_language,application,2026-01-09 15:23:25.799000+05:30,2026-01-09,Friday,'15:23:25.799000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_Language,application,2026-01-09 15:23:25.809000+05:30,2026-01-09,Friday,'15:23:25.809000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_T&C unchecked,application,2026-01-09 15:23:35.729000+05:30,2026-01-09,Friday,'15:23:35.729000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_T&C agree,application,2026-01-09 15:23:36.404000+05:30,2026-01-09,Friday,'15:23:36.404000
59805bdd-dd4a-4063-b211-33e09dc529f8,generate_otp,application,2026-01-09 15:23:37.201000+05:30,2026-01-09,Friday,'15:23:37.201000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_get_otp,application,2026-01-09 15:23:37.216000+05:30,2026-01-09,Friday,'15:23:37.216000
59805bdd-dd4a-4063-b211-33e09dc529f8,_auth_generate-otp,application,2026-01-09 15:23:37.958000+05:30,2026-01-09,Friday,'15:23:37.958000
59805bdd-dd4a-4063-b211-33e09dc529f8,get_otp,application,2026-01-09 15:23:37.966000+05:30,2026-01-09,Friday,'15:23:37.966000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_signup_,application,2026-01-09 15:23:37.985000+05:30,2026-01-09,Friday,'15:23:37.985000
59805bdd-dd4a-4063-b211-33e09dc529f8,Journey Ended,system,2026-01-09 15:23:41.623000+05:30,2026-01-09,Friday,'15:23:41.623000
59805bdd-dd4a-4063-b211-33e09dc529f8,Journey Started,system,2026-01-09 15:23:41.623000+05:30,2026-01-09,Friday,'15:23:41.623000
59805bdd-dd4a-4063-b211-33e09dc529f8,verify_otp,application,2026-01-09 15:23:55.215000+05:30,2026-01-09,Friday,'15:23:55.215000
59805bdd-dd4a-4063-b211-33e09dc529f8,_auth_verify-otp,application,2026-01-09 15:23:55.454000+05:30,2026-01-09,Friday,'15:23:55.454000
59805bdd-dd4a-4063-b211-33e09dc529f8,enter_otp,application,2026-01-09 15:23:55.482000+05:30,2026-01-09,Friday,'15:23:55.482000
59805bdd-dd4a-4063-b211-33e09dc529f8,User Login,system,2026-01-09 15:23:55.505000+05:30,2026-01-09,Friday,'15:23:55.505000
59805bdd-dd4a-4063-b211-33e09dc529f8,login,application,2026-01-09 15:23:55.663000+05:30,2026-01-09,Friday,'15:23:55.663000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:23:55.680000+05:30,2026-01-09,Friday,'15:23:55.680000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_from-town,application,2026-01-09 15:23:56.148000+05:30,2026-01-09,Friday,'15:23:56.148000
59805bdd-dd4a-4063-b211-33e09dc529f8,Onboarding_Profile Saved,application,2026-01-09 15:24:00.200000+05:30,2026-01-09,Friday,'15:24:00.200000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:24:15.872000+05:30,2026-01-09,Friday,'15:24:15.872000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:24:17.965000+05:30,2026-01-09,Friday,'15:24:17.965000
59805bdd-dd4a-4063-b211-33e09dc529f8,_history_recommended-journey,application,2026-01-09 15:24:18.038000+05:30,2026-01-09,Friday,'15:24:18.038000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_from-town,application,2026-01-09 15:24:18.047000+05:30,2026-01-09,Friday,'15:24:18.047000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user_device,application,2026-01-09 15:24:18.076000+05:30,2026-01-09,Friday,'15:24:18.076000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:24:18.090000+05:30,2026-01-09,Friday,'15:24:18.090000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_special-town-search,application,2026-01-09 15:24:18.136000+05:30,2026-01-09,Friday,'15:24:18.136000
59805bdd-dd4a-4063-b211-33e09dc529f8,_ticket,application,2026-01-09 15:24:18.288000+05:30,2026-01-09,Friday,'15:24:18.288000
59805bdd-dd4a-4063-b211-33e09dc529f8,Session Started,system,2026-01-09 15:30:25.200000+05:30,2026-01-09,Friday,'15:30:25.200000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:30:26.523000+05:30,2026-01-09,Friday,'15:30:26.523000
59805bdd-dd4a-4063-b211-33e09dc529f8,_history_recommended-journey,application,2026-01-09 15:30:26.544000+05:30,2026-01-09,Friday,'15:30:26.544000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_from-town,application,2026-01-09 15:30:26.712000+05:30,2026-01-09,Friday,'15:30:26.712000
59805bdd-dd4a-4063-b211-33e09dc529f8,_user,application,2026-01-09 15:30:26.731000+05:30,2026-01-09,Friday,'15:30:26.731000
59805bdd-dd4a-4063-b211-33e09dc529f8,_ticket,application,2026-01-09 15:30:26.904000+05:30,2026-01-09,Friday,'15:30:26.904000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_special-town-search,application,2026-01-09 15:30:26.956000+05:30,2026-01-09,Friday,'15:30:26.956000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_special-town-search,application,2026-01-09 15:30:28.529000+05:30,2026-01-09,Friday,'15:30:28.529000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_elastic-town-search,application,2026-01-09 15:30:28.742000+05:30,2026-01-09,Friday,'15:30:28.742000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_elastic-town-search,application,2026-01-09 15:30:35.397000+05:30,2026-01-09,Friday,'15:30:35.397000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_elastic-town-search,application,2026-01-09 15:30:41.735000+05:30,2026-01-09,Friday,'15:30:41.735000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_elastic-town-search,application,2026-01-09 15:30:41.956000+05:30,2026-01-09,Friday,'15:30:41.956000
59805bdd-dd4a-4063-b211-33e09dc529f8,_location_elastic-town-search,application,2026-01-09 15:30:57.266000+05:30,2026-01-09,Friday,'15:30:57.266000
