user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,DeviceInfo,application,2026-01-01 22:02:51.276000+05:30,2026-01-01,Thursday,'22:02:51.276000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Session Started,system,2026-01-01 22:02:51.661000+05:30,2026-01-01,Thursday,'22:02:51.661000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,App Installed,system,2026-01-01 22:02:51.718000+05:30,2026-01-01,Thursday,'22:02:51.718000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Journey Started,system,2026-01-01 22:02:52.614000+05:30,2026-01-01,Thursday,'22:02:52.614000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Push Subscribe Process - Device Registered (Push),system,2026-01-01 22:02:53.072000+05:30,2026-01-01,Thursday,'22:02:53.072000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,app_start,application,2026-01-01 22:02:53.552000+05:30,2026-01-01,Thursday,'22:02:53.552000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,choose_language,application,2026-01-01 22:03:01.893000+05:30,2026-01-01,Thursday,'22:03:01.893000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Onboarding_Language,application,2026-01-01 22:03:01.909000+05:30,2026-01-01,Thursday,'22:03:01.909000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,choose_language,application,2026-01-01 22:03:01.958000+05:30,2026-01-01,Thursday,'22:03:01.958000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Onboarding_Language,application,2026-01-01 22:03:01.996000+05:30,2026-01-01,Thursday,'22:03:01.996000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Journey Ended,system,2026-01-01 22:03:03.194000+05:30,2026-01-01,Thursday,'22:03:03.194000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Journey Started,system,2026-01-01 22:03:03.194000+05:30,2026-01-01,Thursday,'22:03:03.194000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Journey Ended,system,2026-01-01 22:03:03.258000+05:30,2026-01-01,Thursday,'22:03:03.258000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Journey Started,system,2026-01-01 22:03:03.258000+05:30,2026-01-01,Thursday,'22:03:03.258000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,generate_otp,application,2026-01-01 22:03:28.053000+05:30,2026-01-01,Thursday,'22:03:28.053000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Onboarding_get_otp,application,2026-01-01 22:03:28.095000+05:30,2026-01-01,Thursday,'22:03:28.095000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,_auth_generate-otp,application,2026-01-01 22:03:29.065000+05:30,2026-01-01,Thursday,'22:03:29.065000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,get_otp,application,2026-01-01 22:03:29.083000+05:30,2026-01-01,Thursday,'22:03:29.083000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,Onboarding_signup_,application,2026-01-01 22:03:29.116000+05:30,2026-01-01,Thursday,'22:03:29.116000
4ec07200-30c1-4f9f-97ea-e8f7f5145fa0,verify_otp,application,2026-01-01 22:03:34.086000+05:30,2026-01-01,Thursday,'22:03:34.086000
