user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a12f9617-0aff-41cf-8e7c-b42c89d998cb,DeviceInfo,application,2026-01-08 13:05:23.731000+05:30,2026-01-08,Thursday,'13:05:23.731000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Session Started,system,2026-01-08 13:05:24.065000+05:30,2026-01-08,Thursday,'13:05:24.065000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,App Installed,system,2026-01-08 13:05:24.086000+05:30,2026-01-08,Thursday,'13:05:24.086000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Journey Started,system,2026-01-08 13:05:24.397000+05:30,2026-01-08,Thursday,'13:05:24.397000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,app_start,application,2026-01-08 13:05:24.923000+05:30,2026-01-08,Thursday,'13:05:24.923000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Push Subscribe Process - Device Registered (Push),system,2026-01-08 13:05:25.984000+05:30,2026-01-08,Thursday,'13:05:25.984000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,choose_language,application,2026-01-08 13:05:29.920000+05:30,2026-01-08,Thursday,'13:05:29.920000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Onboarding_Language,application,2026-01-08 13:05:29.928000+05:30,2026-01-08,Thursday,'13:05:29.928000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,generate_otp,application,2026-01-08 13:05:36.059000+05:30,2026-01-08,Thursday,'13:05:36.059000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Onboarding_get_otp,application,2026-01-08 13:05:36.075000+05:30,2026-01-08,Thursday,'13:05:36.075000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Journey Ended,system,2026-01-08 13:05:36.427000+05:30,2026-01-08,Thursday,'13:05:36.427000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Journey Started,system,2026-01-08 13:05:36.427000+05:30,2026-01-08,Thursday,'13:05:36.427000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,_auth_generate-otp,application,2026-01-08 13:05:36.814000+05:30,2026-01-08,Thursday,'13:05:36.814000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,get_otp,application,2026-01-08 13:05:36.874000+05:30,2026-01-08,Thursday,'13:05:36.874000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,Onboarding_signup_,application,2026-01-08 13:05:36.880000+05:30,2026-01-08,Thursday,'13:05:36.880000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,verify_otp,application,2026-01-08 13:05:38.769000+05:30,2026-01-08,Thursday,'13:05:38.769000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,_auth_verify-otp,application,2026-01-08 13:05:38.973000+05:30,2026-01-08,Thursday,'13:05:38.973000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,enter_otp,application,2026-01-08 13:05:38.991000+05:30,2026-01-08,Thursday,'13:05:38.991000
a12f9617-0aff-41cf-8e7c-b42c89d998cb,User Login,system,2026-01-08 13:05:39.008000+05:30,2026-01-08,Thursday,'13:05:39.008000
