user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
790dee08-849e-46f8-93a5-29e050935f4e,DeviceInfo,application,2026-01-10 08:43:39.860000+05:30,2026-01-10,Saturday,'08:43:39.860000
790dee08-849e-46f8-93a5-29e050935f4e,Session Started,system,2026-01-10 08:43:40.342000+05:30,2026-01-10,Saturday,'08:43:40.342000
790dee08-849e-46f8-93a5-29e050935f4e,App Installed,system,2026-01-10 08:43:40.350000+05:30,2026-01-10,Saturday,'08:43:40.350000
790dee08-849e-46f8-93a5-29e050935f4e,Journey Started,system,2026-01-10 08:43:41.189000+05:30,2026-01-10,Saturday,'08:43:41.189000
790dee08-849e-46f8-93a5-29e050935f4e,app_start,application,2026-01-10 08:43:41.678000+05:30,2026-01-10,Saturday,'08:43:41.678000
790dee08-849e-46f8-93a5-29e050935f4e,Push Subscribe Process - Device Registered (Push),system,2026-01-10 08:43:46.073000+05:30,2026-01-10,Saturday,'08:43:46.073000
790dee08-849e-46f8-93a5-29e050935f4e,choose_language,application,2026-01-10 08:43:50.237000+05:30,2026-01-10,Saturday,'08:43:50.237000
790dee08-849e-46f8-93a5-29e050935f4e,Onboarding_Language,application,2026-01-10 08:43:50.242000+05:30,2026-01-10,Saturday,'08:43:50.242000
790dee08-849e-46f8-93a5-29e050935f4e,generate_otp,application,2026-01-10 08:43:54.882000+05:30,2026-01-10,Saturday,'08:43:54.882000
790dee08-849e-46f8-93a5-29e050935f4e,Onboarding_get_otp,application,2026-01-10 08:43:54.887000+05:30,2026-01-10,Saturday,'08:43:54.887000
790dee08-849e-46f8-93a5-29e050935f4e,Journey Started,system,2026-01-10 08:43:55.861000+05:30,2026-01-10,Saturday,'08:43:55.861000
790dee08-849e-46f8-93a5-29e050935f4e,Journey Ended,system,2026-01-10 08:43:55.862000+05:30,2026-01-10,Saturday,'08:43:55.862000
790dee08-849e-46f8-93a5-29e050935f4e,_auth_generate-otp,application,2026-01-10 08:44:01.785000+05:30,2026-01-10,Saturday,'08:44:01.785000
790dee08-849e-46f8-93a5-29e050935f4e,get_otp,application,2026-01-10 08:44:01.790000+05:30,2026-01-10,Saturday,'08:44:01.790000
790dee08-849e-46f8-93a5-29e050935f4e,Onboarding_signup_,application,2026-01-10 08:44:01.799000+05:30,2026-01-10,Saturday,'08:44:01.799000
790dee08-849e-46f8-93a5-29e050935f4e,verify_otp,application,2026-01-10 08:44:03.742000+05:30,2026-01-10,Saturday,'08:44:03.742000
790dee08-849e-46f8-93a5-29e050935f4e,_auth_verify-otp,application,2026-01-10 08:44:04.011000+05:30,2026-01-10,Saturday,'08:44:04.011000
790dee08-849e-46f8-93a5-29e050935f4e,enter_otp,application,2026-01-10 08:44:04.019000+05:30,2026-01-10,Saturday,'08:44:04.019000
790dee08-849e-46f8-93a5-29e050935f4e,User Login,system,2026-01-10 08:44:04.023000+05:30,2026-01-10,Saturday,'08:44:04.023000
790dee08-849e-46f8-93a5-29e050935f4e,login,application,2026-01-10 08:44:04.276000+05:30,2026-01-10,Saturday,'08:44:04.276000
790dee08-849e-46f8-93a5-29e050935f4e,_user,application,2026-01-10 08:44:04.312000+05:30,2026-01-10,Saturday,'08:44:04.312000
790dee08-849e-46f8-93a5-29e050935f4e,_location_from-town,application,2026-01-10 08:44:04.883000+05:30,2026-01-10,Saturday,'08:44:04.883000
790dee08-849e-46f8-93a5-29e050935f4e,Onboarding_Profile Saved,application,2026-01-10 08:44:05.377000+05:30,2026-01-10,Saturday,'08:44:05.377000
790dee08-849e-46f8-93a5-29e050935f4e,_user,application,2026-01-10 08:44:11.715000+05:30,2026-01-10,Saturday,'08:44:11.715000
790dee08-849e-46f8-93a5-29e050935f4e,_user,application,2026-01-10 08:44:13.756000+05:30,2026-01-10,Saturday,'08:44:13.756000
790dee08-849e-46f8-93a5-29e050935f4e,_history_recommended-journey,application,2026-01-10 08:44:13.837000+05:30,2026-01-10,Saturday,'08:44:13.837000
790dee08-849e-46f8-93a5-29e050935f4e,_location_from-town,application,2026-01-10 08:44:13.923000+05:30,2026-01-10,Saturday,'08:44:13.923000
790dee08-849e-46f8-93a5-29e050935f4e,_user_device,application,2026-01-10 08:44:13.936000+05:30,2026-01-10,Saturday,'08:44:13.936000
790dee08-849e-46f8-93a5-29e050935f4e,_user,application,2026-01-10 08:44:14.033000+05:30,2026-01-10,Saturday,'08:44:14.033000
790dee08-849e-46f8-93a5-29e050935f4e,_location_special-town-search,application,2026-01-10 08:44:14.270000+05:30,2026-01-10,Saturday,'08:44:14.270000
790dee08-849e-46f8-93a5-29e050935f4e,_ticket,application,2026-01-10 08:44:14.293000+05:30,2026-01-10,Saturday,'08:44:14.293000
790dee08-849e-46f8-93a5-29e050935f4e,_location_special-town-search,application,2026-01-10 08:44:14.465000+05:30,2026-01-10,Saturday,'08:44:14.465000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:14.653000+05:30,2026-01-10,Saturday,'08:44:14.653000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:16.642000+05:30,2026-01-10,Saturday,'08:44:16.642000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:18.420000+05:30,2026-01-10,Saturday,'08:44:18.420000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:18.648000+05:30,2026-01-10,Saturday,'08:44:18.648000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:18.975000+05:30,2026-01-10,Saturday,'08:44:18.975000
790dee08-849e-46f8-93a5-29e050935f4e,_location_special-town-search,application,2026-01-10 08:44:20.661000+05:30,2026-01-10,Saturday,'08:44:20.661000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:20.875000+05:30,2026-01-10,Saturday,'08:44:20.875000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:21.307000+05:30,2026-01-10,Saturday,'08:44:21.307000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:22.316000+05:30,2026-01-10,Saturday,'08:44:22.316000
790dee08-849e-46f8-93a5-29e050935f4e,_location_elastic-town-search,application,2026-01-10 08:44:24.125000+05:30,2026-01-10,Saturday,'08:44:24.125000
