user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
98991a81-6ed0-495e-9d44-078419ca8d37,DeviceInfo,application,2026-01-06 07:25:25.456000+05:30,2026-01-06,Tuesday,'07:25:25.456000
98991a81-6ed0-495e-9d44-078419ca8d37,Session Started,system,2026-01-06 07:25:26.110000+05:30,2026-01-06,Tuesday,'07:25:26.110000
98991a81-6ed0-495e-9d44-078419ca8d37,App Installed,system,2026-01-06 07:25:26.134000+05:30,2026-01-06,Tuesday,'07:25:26.134000
98991a81-6ed0-495e-9d44-078419ca8d37,Journey Started,system,2026-01-06 07:25:26.178000+05:30,2026-01-06,Tuesday,'07:25:26.178000
98991a81-6ed0-495e-9d44-078419ca8d37,app_start,application,2026-01-06 07:25:26.954000+05:30,2026-01-06,Tuesday,'07:25:26.954000
98991a81-6ed0-495e-9d44-078419ca8d37,Push Subscribe Process - Device Registered (Push),system,2026-01-06 07:25:27.695000+05:30,2026-01-06,Tuesday,'07:25:27.695000
98991a81-6ed0-495e-9d44-078419ca8d37,choose_language,application,2026-01-06 07:25:30.554000+05:30,2026-01-06,Tuesday,'07:25:30.554000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_Language,application,2026-01-06 07:25:30.565000+05:30,2026-01-06,Tuesday,'07:25:30.565000
98991a81-6ed0-495e-9d44-078419ca8d37,generate_otp,application,2026-01-06 07:25:44.097000+05:30,2026-01-06,Tuesday,'07:25:44.097000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_get_otp,application,2026-01-06 07:25:44.121000+05:30,2026-01-06,Tuesday,'07:25:44.121000
98991a81-6ed0-495e-9d44-078419ca8d37,Journey Ended,system,2026-01-06 07:25:44.327000+05:30,2026-01-06,Tuesday,'07:25:44.327000
98991a81-6ed0-495e-9d44-078419ca8d37,Journey Started,system,2026-01-06 07:25:44.327000+05:30,2026-01-06,Tuesday,'07:25:44.327000
98991a81-6ed0-495e-9d44-078419ca8d37,_auth_generate-otp,application,2026-01-06 07:25:44.943000+05:30,2026-01-06,Tuesday,'07:25:44.943000
98991a81-6ed0-495e-9d44-078419ca8d37,get_otp,application,2026-01-06 07:25:44.958000+05:30,2026-01-06,Tuesday,'07:25:44.958000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_signup_,application,2026-01-06 07:25:45.011000+05:30,2026-01-06,Tuesday,'07:25:45.011000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_backpressed,application,2026-01-06 07:25:47.972000+05:30,2026-01-06,Tuesday,'07:25:47.972000
98991a81-6ed0-495e-9d44-078419ca8d37,generate_otp,application,2026-01-06 07:25:52.991000+05:30,2026-01-06,Tuesday,'07:25:52.991000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_get_otp,application,2026-01-06 07:25:53.022000+05:30,2026-01-06,Tuesday,'07:25:53.022000
98991a81-6ed0-495e-9d44-078419ca8d37,_auth_generate-otp,application,2026-01-06 07:25:53.806000+05:30,2026-01-06,Tuesday,'07:25:53.806000
98991a81-6ed0-495e-9d44-078419ca8d37,get_otp,application,2026-01-06 07:25:53.820000+05:30,2026-01-06,Tuesday,'07:25:53.820000
98991a81-6ed0-495e-9d44-078419ca8d37,Onboarding_signup_,application,2026-01-06 07:25:53.842000+05:30,2026-01-06,Tuesday,'07:25:53.842000
98991a81-6ed0-495e-9d44-078419ca8d37,verify_otp,application,2026-01-06 07:25:56.864000+05:30,2026-01-06,Tuesday,'07:25:56.864000
98991a81-6ed0-495e-9d44-078419ca8d37,_auth_verify-otp,application,2026-01-06 07:25:57.482000+05:30,2026-01-06,Tuesday,'07:25:57.482000
98991a81-6ed0-495e-9d44-078419ca8d37,enter_otp,application,2026-01-06 07:25:57.505000+05:30,2026-01-06,Tuesday,'07:25:57.505000
98991a81-6ed0-495e-9d44-078419ca8d37,User Login,system,2026-01-06 07:25:57.589000+05:30,2026-01-06,Tuesday,'07:25:57.589000
98991a81-6ed0-495e-9d44-078419ca8d37,login,application,2026-01-06 07:26:04.152000+05:30,2026-01-06,Tuesday,'07:26:04.152000
98991a81-6ed0-495e-9d44-078419ca8d37,_user,application,2026-01-06 07:26:04.172000+05:30,2026-01-06,Tuesday,'07:26:04.172000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_from-town,application,2026-01-06 07:26:04.186000+05:30,2026-01-06,Tuesday,'07:26:04.186000
98991a81-6ed0-495e-9d44-078419ca8d37,_user,application,2026-01-06 07:26:06.787000+05:30,2026-01-06,Tuesday,'07:26:06.787000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_from-town,application,2026-01-06 07:26:06.825000+05:30,2026-01-06,Tuesday,'07:26:06.825000
98991a81-6ed0-495e-9d44-078419ca8d37,_history_recommended-journey,application,2026-01-06 07:26:06.842000+05:30,2026-01-06,Tuesday,'07:26:06.842000
98991a81-6ed0-495e-9d44-078419ca8d37,_user_device,application,2026-01-06 07:26:06.931000+05:30,2026-01-06,Tuesday,'07:26:06.931000
98991a81-6ed0-495e-9d44-078419ca8d37,_user,application,2026-01-06 07:26:07.127000+05:30,2026-01-06,Tuesday,'07:26:07.127000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_special-town-search,application,2026-01-06 07:26:07.299000+05:30,2026-01-06,Tuesday,'07:26:07.299000
98991a81-6ed0-495e-9d44-078419ca8d37,_ticket,application,2026-01-06 07:26:07.593000+05:30,2026-01-06,Tuesday,'07:26:07.593000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_special-town-search,application,2026-01-06 07:26:08.694000+05:30,2026-01-06,Tuesday,'07:26:08.694000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_elastic-town-search,application,2026-01-06 07:26:08.950000+05:30,2026-01-06,Tuesday,'07:26:08.950000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_elastic-town-search,application,2026-01-06 07:26:11.178000+05:30,2026-01-06,Tuesday,'07:26:11.178000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_elastic-town-search,application,2026-01-06 07:26:11.306000+05:30,2026-01-06,Tuesday,'07:26:11.306000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_elastic-town-search,application,2026-01-06 07:26:11.750000+05:30,2026-01-06,Tuesday,'07:26:11.750000
98991a81-6ed0-495e-9d44-078419ca8d37,_location_elastic-town-search,application,2026-01-06 07:26:11.962000+05:30,2026-01-06,Tuesday,'07:26:11.962000
