user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,DeviceInfo,application,2026-01-01 20:22:00.627000+05:30,2026-01-01,Thursday,'20:22:00.627000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,App Installed,system,2026-01-01 20:22:00.833000+05:30,2026-01-01,Thursday,'20:22:00.833000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Session Started,system,2026-01-01 20:22:00.833000+05:30,2026-01-01,Thursday,'20:22:00.833000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Push Subscribe Process - Device Registered (Push),system,2026-01-01 20:22:02.654000+05:30,2026-01-01,Thursday,'20:22:02.654000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,app_start,application,2026-01-01 20:22:02.654000+05:30,2026-01-01,Thursday,'20:22:02.654000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Push Subscribe Process - Device Registered (Push),system,2026-01-01 20:22:02.749000+05:30,2026-01-01,Thursday,'20:22:02.749000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,choose_language,application,2026-01-01 20:22:05.403000+05:30,2026-01-01,Thursday,'20:22:05.403000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Onboarding_Language,application,2026-01-01 20:22:05.425000+05:30,2026-01-01,Thursday,'20:22:05.425000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,generate_otp,application,2026-01-01 20:22:12.414000+05:30,2026-01-01,Thursday,'20:22:12.414000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Onboarding_get_otp,application,2026-01-01 20:22:12.415000+05:30,2026-01-01,Thursday,'20:22:12.415000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Journey Ended,system,2026-01-01 20:22:12.535000+05:30,2026-01-01,Thursday,'20:22:12.535000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Journey Started,system,2026-01-01 20:22:12.535000+05:30,2026-01-01,Thursday,'20:22:12.535000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_auth_generate-otp,application,2026-01-01 20:22:13.459000+05:30,2026-01-01,Thursday,'20:22:13.459000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,get_otp,application,2026-01-01 20:22:13.469000+05:30,2026-01-01,Thursday,'20:22:13.469000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Onboarding_signup_,application,2026-01-01 20:22:13.481000+05:30,2026-01-01,Thursday,'20:22:13.481000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_auth_verify-otp,application,2026-01-01 20:22:14.751000+05:30,2026-01-01,Thursday,'20:22:14.751000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,verify_otp,application,2026-01-01 20:22:14.751000+05:30,2026-01-01,Thursday,'20:22:14.751000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,enter_otp,application,2026-01-01 20:22:15.191000+05:30,2026-01-01,Thursday,'20:22:15.191000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,User Login,system,2026-01-01 20:22:15.200000+05:30,2026-01-01,Thursday,'20:22:15.200000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,login,application,2026-01-01 20:22:15.518000+05:30,2026-01-01,Thursday,'20:22:15.518000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_user,application,2026-01-01 20:22:15.527000+05:30,2026-01-01,Thursday,'20:22:15.527000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_location_from-town,application,2026-01-01 20:22:15.789000+05:30,2026-01-01,Thursday,'20:22:15.789000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,Onboarding_Profile Saved,application,2026-01-01 20:22:17.217000+05:30,2026-01-01,Thursday,'20:22:17.217000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_user,application,2026-01-01 20:22:25.257000+05:30,2026-01-01,Thursday,'20:22:25.257000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_history_recommended-journey,application,2026-01-01 20:22:27.119000+05:30,2026-01-01,Thursday,'20:22:27.119000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_location_from-town,application,2026-01-01 20:22:27.119000+05:30,2026-01-01,Thursday,'20:22:27.119000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_user,application,2026-01-01 20:22:27.119000+05:30,2026-01-01,Thursday,'20:22:27.119000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_user_device,application,2026-01-01 20:22:27.119000+05:30,2026-01-01,Thursday,'20:22:27.119000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_location_special-town-search,application,2026-01-01 20:22:27.628000+05:30,2026-01-01,Thursday,'20:22:27.628000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_ticket,application,2026-01-01 20:22:27.742000+05:30,2026-01-01,Thursday,'20:22:27.742000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_location_special-town-search,application,2026-01-01 20:22:35.111000+05:30,2026-01-01,Thursday,'20:22:35.111000
b470a63a-cdad-4fe4-b021-6f42c0bb5ffb,_location_elastic-town-search,application,2026-01-01 20:22:35.165000+05:30,2026-01-01,Thursday,'20:22:35.165000
