user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
46f33a8f-5991-42df-b735-8b9d20660272,DeviceInfo,application,2026-01-02 11:56:03.068000+05:30,2026-01-02,Friday,'11:56:03.068000
46f33a8f-5991-42df-b735-8b9d20660272,Session Started,system,2026-01-02 11:56:03.254000+05:30,2026-01-02,Friday,'11:56:03.254000
46f33a8f-5991-42df-b735-8b9d20660272,App Installed,system,2026-01-02 11:56:03.299000+05:30,2026-01-02,Friday,'11:56:03.299000
46f33a8f-5991-42df-b735-8b9d20660272,Journey Started,system,2026-01-02 11:56:03.370000+05:30,2026-01-02,Friday,'11:56:03.370000
46f33a8f-5991-42df-b735-8b9d20660272,app_start,application,2026-01-02 11:56:03.876000+05:30,2026-01-02,Friday,'11:56:03.876000
46f33a8f-5991-42df-b735-8b9d20660272,Push Subscribe Process - Device Registered (Push),system,2026-01-02 11:56:10.207000+05:30,2026-01-02,Friday,'11:56:10.207000
46f33a8f-5991-42df-b735-8b9d20660272,choose_language,application,2026-01-02 11:57:23.827000+05:30,2026-01-02,Friday,'11:57:23.827000
46f33a8f-5991-42df-b735-8b9d20660272,Onboarding_Language,application,2026-01-02 11:57:23.846000+05:30,2026-01-02,Friday,'11:57:23.846000
46f33a8f-5991-42df-b735-8b9d20660272,Journey Ended,system,2026-01-02 11:57:27.918000+05:30,2026-01-02,Friday,'11:57:27.918000
46f33a8f-5991-42df-b735-8b9d20660272,Journey Started,system,2026-01-02 11:57:27.918000+05:30,2026-01-02,Friday,'11:57:27.918000
46f33a8f-5991-42df-b735-8b9d20660272,generate_otp,application,2026-01-02 11:58:05.966000+05:30,2026-01-02,Friday,'11:58:05.966000
46f33a8f-5991-42df-b735-8b9d20660272,Onboarding_get_otp,application,2026-01-02 11:58:05.987000+05:30,2026-01-02,Friday,'11:58:05.987000
46f33a8f-5991-42df-b735-8b9d20660272,_auth_generate-otp,application,2026-01-02 11:58:06.790000+05:30,2026-01-02,Friday,'11:58:06.790000
46f33a8f-5991-42df-b735-8b9d20660272,get_otp,application,2026-01-02 11:58:06.806000+05:30,2026-01-02,Friday,'11:58:06.806000
46f33a8f-5991-42df-b735-8b9d20660272,Onboarding_signup_,application,2026-01-02 11:58:06.830000+05:30,2026-01-02,Friday,'11:58:06.830000
46f33a8f-5991-42df-b735-8b9d20660272,verify_otp,application,2026-01-02 11:58:17.204000+05:30,2026-01-02,Friday,'11:58:17.204000
46f33a8f-5991-42df-b735-8b9d20660272,_auth_verify-otp,application,2026-01-02 11:58:18.771000+05:30,2026-01-02,Friday,'11:58:18.771000
46f33a8f-5991-42df-b735-8b9d20660272,enter_otp,application,2026-01-02 11:58:18.835000+05:30,2026-01-02,Friday,'11:58:18.835000
46f33a8f-5991-42df-b735-8b9d20660272,User Login,system,2026-01-02 11:58:18.848000+05:30,2026-01-02,Friday,'11:58:18.848000
46f33a8f-5991-42df-b735-8b9d20660272,login,application,2026-01-02 11:58:18.988000+05:30,2026-01-02,Friday,'11:58:18.988000
46f33a8f-5991-42df-b735-8b9d20660272,_user,application,2026-01-02 11:58:19.033000+05:30,2026-01-02,Friday,'11:58:19.033000
46f33a8f-5991-42df-b735-8b9d20660272,_location_from-town,application,2026-01-02 11:58:24.469000+05:30,2026-01-02,Friday,'11:58:24.469000
46f33a8f-5991-42df-b735-8b9d20660272,Onboarding_Profile Saved,application,2026-01-02 11:58:26.293000+05:30,2026-01-02,Friday,'11:58:26.293000
46f33a8f-5991-42df-b735-8b9d20660272,_user,application,2026-01-02 11:58:31.206000+05:30,2026-01-02,Friday,'11:58:31.206000
46f33a8f-5991-42df-b735-8b9d20660272,_user,application,2026-01-02 11:58:37.254000+05:30,2026-01-02,Friday,'11:58:37.254000
