user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5d6d753c-ff2c-45b8-9441-a04b0455c122,DeviceInfo,application,2026-01-14 10:57:17.276000+05:30,2026-01-14,Wednesday,'10:57:17.276000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Session Started,system,2026-01-14 10:57:17.884000+05:30,2026-01-14,Wednesday,'10:57:17.884000
5d6d753c-ff2c-45b8-9441-a04b0455c122,App Installed,system,2026-01-14 10:57:17.980000+05:30,2026-01-14,Wednesday,'10:57:17.980000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Journey Started,system,2026-01-14 10:57:18.554000+05:30,2026-01-14,Wednesday,'10:57:18.554000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Push Subscribe Process - Device Registered (Push),system,2026-01-14 10:57:19.210000+05:30,2026-01-14,Wednesday,'10:57:19.210000
5d6d753c-ff2c-45b8-9441-a04b0455c122,app_start,application,2026-01-14 10:57:20.044000+05:30,2026-01-14,Wednesday,'10:57:20.044000
5d6d753c-ff2c-45b8-9441-a04b0455c122,choose_language,application,2026-01-14 10:57:30.715000+05:30,2026-01-14,Wednesday,'10:57:30.715000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Onboarding_Language,application,2026-01-14 10:57:30.739000+05:30,2026-01-14,Wednesday,'10:57:30.739000
5d6d753c-ff2c-45b8-9441-a04b0455c122,choose_language,application,2026-01-14 10:57:30.873000+05:30,2026-01-14,Wednesday,'10:57:30.873000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Onboarding_Language,application,2026-01-14 10:57:30.906000+05:30,2026-01-14,Wednesday,'10:57:30.906000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Journey Ended,system,2026-01-14 10:57:33.065000+05:30,2026-01-14,Wednesday,'10:57:33.065000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Journey Started,system,2026-01-14 10:57:33.065000+05:30,2026-01-14,Wednesday,'10:57:33.065000
5d6d753c-ff2c-45b8-9441-a04b0455c122,generate_otp,application,2026-01-14 10:57:40.966000+05:30,2026-01-14,Wednesday,'10:57:40.966000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Onboarding_get_otp,application,2026-01-14 10:57:40.990000+05:30,2026-01-14,Wednesday,'10:57:40.990000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_auth_generate-otp,application,2026-01-14 10:57:42.343000+05:30,2026-01-14,Wednesday,'10:57:42.343000
5d6d753c-ff2c-45b8-9441-a04b0455c122,get_otp,application,2026-01-14 10:57:42.351000+05:30,2026-01-14,Wednesday,'10:57:42.351000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Onboarding_signup_,application,2026-01-14 10:57:42.366000+05:30,2026-01-14,Wednesday,'10:57:42.366000
5d6d753c-ff2c-45b8-9441-a04b0455c122,verify_otp,application,2026-01-14 10:57:48.666000+05:30,2026-01-14,Wednesday,'10:57:48.666000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_auth_verify-otp,application,2026-01-14 10:57:49.291000+05:30,2026-01-14,Wednesday,'10:57:49.291000
5d6d753c-ff2c-45b8-9441-a04b0455c122,enter_otp,application,2026-01-14 10:57:49.320000+05:30,2026-01-14,Wednesday,'10:57:49.320000
5d6d753c-ff2c-45b8-9441-a04b0455c122,User Login,system,2026-01-14 10:57:49.340000+05:30,2026-01-14,Wednesday,'10:57:49.340000
5d6d753c-ff2c-45b8-9441-a04b0455c122,login,application,2026-01-14 10:57:49.734000+05:30,2026-01-14,Wednesday,'10:57:49.734000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_user,application,2026-01-14 10:57:49.744000+05:30,2026-01-14,Wednesday,'10:57:49.744000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_from-town,application,2026-01-14 10:57:50.509000+05:30,2026-01-14,Wednesday,'10:57:50.509000
5d6d753c-ff2c-45b8-9441-a04b0455c122,Onboarding_Profile Saved,application,2026-01-14 10:57:51.070000+05:30,2026-01-14,Wednesday,'10:57:51.070000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_user,application,2026-01-14 10:58:04.047000+05:30,2026-01-14,Wednesday,'10:58:04.047000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_user,application,2026-01-14 10:58:37.546000+05:30,2026-01-14,Wednesday,'10:58:37.546000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_from-town,application,2026-01-14 10:58:37.592000+05:30,2026-01-14,Wednesday,'10:58:37.592000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_history_recommended-journey,application,2026-01-14 10:58:37.606000+05:30,2026-01-14,Wednesday,'10:58:37.606000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_user_device,application,2026-01-14 10:58:37.728000+05:30,2026-01-14,Wednesday,'10:58:37.728000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_user,application,2026-01-14 10:58:37.890000+05:30,2026-01-14,Wednesday,'10:58:37.890000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_special-town-search,application,2026-01-14 10:58:37.940000+05:30,2026-01-14,Wednesday,'10:58:37.940000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_ticket,application,2026-01-14 10:58:38.169000+05:30,2026-01-14,Wednesday,'10:58:38.169000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_special-town-search,application,2026-01-14 10:58:41.711000+05:30,2026-01-14,Wednesday,'10:58:41.711000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:41.863000+05:30,2026-01-14,Wednesday,'10:58:41.863000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:44.921000+05:30,2026-01-14,Wednesday,'10:58:44.921000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:55.267000+05:30,2026-01-14,Wednesday,'10:58:55.267000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:58.174000+05:30,2026-01-14,Wednesday,'10:58:58.174000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:58.293000+05:30,2026-01-14,Wednesday,'10:58:58.293000
5d6d753c-ff2c-45b8-9441-a04b0455c122,_location_elastic-town-search,application,2026-01-14 10:58:59.249000+05:30,2026-01-14,Wednesday,'10:58:59.249000
