user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0eecb75e-e0f3-4cae-b24b-f68e910da215,DeviceInfo,application,2026-01-03 19:26:00.776000+05:30,2026-01-03,Saturday,'19:26:00.776000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Session Started,system,2026-01-03 19:26:01.361000+05:30,2026-01-03,Saturday,'19:26:01.361000
0eecb75e-e0f3-4cae-b24b-f68e910da215,App Installed,system,2026-01-03 19:26:01.450000+05:30,2026-01-03,Saturday,'19:26:01.450000
0eecb75e-e0f3-4cae-b24b-f68e910da215,app_start,application,2026-01-03 19:26:01.656000+05:30,2026-01-03,Saturday,'19:26:01.656000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Push Subscribe Process - Device Registered (Push),system,2026-01-03 19:26:01.745000+05:30,2026-01-03,Saturday,'19:26:01.745000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Journey Started,system,2026-01-03 19:26:02.699000+05:30,2026-01-03,Saturday,'19:26:02.699000
0eecb75e-e0f3-4cae-b24b-f68e910da215,choose_language,application,2026-01-03 19:26:04.829000+05:30,2026-01-03,Saturday,'19:26:04.829000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_Language,application,2026-01-03 19:26:04.838000+05:30,2026-01-03,Saturday,'19:26:04.838000
0eecb75e-e0f3-4cae-b24b-f68e910da215,generate_otp,application,2026-01-03 19:26:10.892000+05:30,2026-01-03,Saturday,'19:26:10.892000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_get_otp,application,2026-01-03 19:26:10.937000+05:30,2026-01-03,Saturday,'19:26:10.937000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Journey Ended,system,2026-01-03 19:26:12.381000+05:30,2026-01-03,Saturday,'19:26:12.381000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Journey Started,system,2026-01-03 19:26:12.381000+05:30,2026-01-03,Saturday,'19:26:12.381000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_Whtsapp unchecked,application,2026-01-03 19:26:15.932000+05:30,2026-01-03,Saturday,'19:26:15.932000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_T&C unchecked,application,2026-01-03 19:26:16.135000+05:30,2026-01-03,Saturday,'19:26:16.135000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_Whtsapp agree,application,2026-01-03 19:26:16.941000+05:30,2026-01-03,Saturday,'19:26:16.941000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_auth_generate-otp,application,2026-01-03 19:26:16.981000+05:30,2026-01-03,Saturday,'19:26:16.981000
0eecb75e-e0f3-4cae-b24b-f68e910da215,get_otp,application,2026-01-03 19:26:16.994000+05:30,2026-01-03,Saturday,'19:26:16.994000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_signup_,application,2026-01-03 19:26:17.026000+05:30,2026-01-03,Saturday,'19:26:17.026000
0eecb75e-e0f3-4cae-b24b-f68e910da215,verify_otp,application,2026-01-03 19:26:20.328000+05:30,2026-01-03,Saturday,'19:26:20.328000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_auth_verify-otp,application,2026-01-03 19:26:20.718000+05:30,2026-01-03,Saturday,'19:26:20.718000
0eecb75e-e0f3-4cae-b24b-f68e910da215,enter_otp,application,2026-01-03 19:26:20.750000+05:30,2026-01-03,Saturday,'19:26:20.750000
0eecb75e-e0f3-4cae-b24b-f68e910da215,User Login,system,2026-01-03 19:26:20.796000+05:30,2026-01-03,Saturday,'19:26:20.796000
0eecb75e-e0f3-4cae-b24b-f68e910da215,login,application,2026-01-03 19:26:21.060000+05:30,2026-01-03,Saturday,'19:26:21.060000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_user,application,2026-01-03 19:26:21.090000+05:30,2026-01-03,Saturday,'19:26:21.090000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_location_from-town,application,2026-01-03 19:26:21.685000+05:30,2026-01-03,Saturday,'19:26:21.685000
0eecb75e-e0f3-4cae-b24b-f68e910da215,Onboarding_Profile Saved,application,2026-01-03 19:26:22.557000+05:30,2026-01-03,Saturday,'19:26:22.557000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_user,application,2026-01-03 19:26:33.325000+05:30,2026-01-03,Saturday,'19:26:33.325000
0eecb75e-e0f3-4cae-b24b-f68e910da215,_user,application,2026-01-03 19:26:39.539000+05:30,2026-01-03,Saturday,'19:26:39.539000
