user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b70512c3-d0da-4946-abf4-a2a185a82a94,DeviceInfo,application,2026-01-04 22:27:34.903000+05:30,2026-01-04,Sunday,'22:27:34.903000
b70512c3-d0da-4946-abf4-a2a185a82a94,Session Started,system,2026-01-04 22:27:35.359000+05:30,2026-01-04,Sunday,'22:27:35.359000
b70512c3-d0da-4946-abf4-a2a185a82a94,App Installed,system,2026-01-04 22:27:35.419000+05:30,2026-01-04,Sunday,'22:27:35.419000
b70512c3-d0da-4946-abf4-a2a185a82a94,Journey Started,system,2026-01-04 22:27:35.704000+05:30,2026-01-04,Sunday,'22:27:35.704000
b70512c3-d0da-4946-abf4-a2a185a82a94,app_start,application,2026-01-04 22:27:35.893000+05:30,2026-01-04,Sunday,'22:27:35.893000
b70512c3-d0da-4946-abf4-a2a185a82a94,Push Subscribe Process - Device Registered (Push),system,2026-01-04 22:27:36.424000+05:30,2026-01-04,Sunday,'22:27:36.424000
b70512c3-d0da-4946-abf4-a2a185a82a94,choose_language,application,2026-01-04 22:27:39.077000+05:30,2026-01-04,Sunday,'22:27:39.077000
b70512c3-d0da-4946-abf4-a2a185a82a94,Onboarding_Language,application,2026-01-04 22:27:39.103000+05:30,2026-01-04,Sunday,'22:27:39.103000
b70512c3-d0da-4946-abf4-a2a185a82a94,generate_otp,application,2026-01-04 22:27:53.661000+05:30,2026-01-04,Sunday,'22:27:53.661000
b70512c3-d0da-4946-abf4-a2a185a82a94,Onboarding_get_otp,application,2026-01-04 22:27:53.712000+05:30,2026-01-04,Sunday,'22:27:53.712000
b70512c3-d0da-4946-abf4-a2a185a82a94,Journey Ended,system,2026-01-04 22:27:54.251000+05:30,2026-01-04,Sunday,'22:27:54.251000
b70512c3-d0da-4946-abf4-a2a185a82a94,Journey Started,system,2026-01-04 22:27:54.251000+05:30,2026-01-04,Sunday,'22:27:54.251000
b70512c3-d0da-4946-abf4-a2a185a82a94,_auth_generate-otp,application,2026-01-04 22:27:54.766000+05:30,2026-01-04,Sunday,'22:27:54.766000
b70512c3-d0da-4946-abf4-a2a185a82a94,get_otp,application,2026-01-04 22:27:54.780000+05:30,2026-01-04,Sunday,'22:27:54.780000
