user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ff783477-a64b-4c13-bea0-cb7eafad3165,DeviceInfo,application,2026-01-16 12:11:42.526000+05:30,2026-01-16,Friday,'12:11:42.526000
ff783477-a64b-4c13-bea0-cb7eafad3165,Session Started,system,2026-01-16 12:11:42.969000+05:30,2026-01-16,Friday,'12:11:42.969000
ff783477-a64b-4c13-bea0-cb7eafad3165,App Installed,system,2026-01-16 12:11:43.133000+05:30,2026-01-16,Friday,'12:11:43.133000
ff783477-a64b-4c13-bea0-cb7eafad3165,Push Subscribe Process - Device Registered (Push),system,2026-01-16 12:11:43.213000+05:30,2026-01-16,Friday,'12:11:43.213000
ff783477-a64b-4c13-bea0-cb7eafad3165,app_start,application,2026-01-16 12:11:43.737000+05:30,2026-01-16,Friday,'12:11:43.737000
ff783477-a64b-4c13-bea0-cb7eafad3165,Journey Started,system,2026-01-16 12:11:43.996000+05:30,2026-01-16,Friday,'12:11:43.996000
ff783477-a64b-4c13-bea0-cb7eafad3165,choose_language,application,2026-01-16 12:11:49.125000+05:30,2026-01-16,Friday,'12:11:49.125000
ff783477-a64b-4c13-bea0-cb7eafad3165,Onboarding_Language,application,2026-01-16 12:11:49.137000+05:30,2026-01-16,Friday,'12:11:49.137000
ff783477-a64b-4c13-bea0-cb7eafad3165,choose_language,application,2026-01-16 12:11:49.181000+05:30,2026-01-16,Friday,'12:11:49.181000
ff783477-a64b-4c13-bea0-cb7eafad3165,Onboarding_Language,application,2026-01-16 12:11:49.219000+05:30,2026-01-16,Friday,'12:11:49.219000
ff783477-a64b-4c13-bea0-cb7eafad3165,choose_language,application,2026-01-16 12:11:49.436000+05:30,2026-01-16,Friday,'12:11:49.436000
ff783477-a64b-4c13-bea0-cb7eafad3165,Onboarding_Language,application,2026-01-16 12:11:49.451000+05:30,2026-01-16,Friday,'12:11:49.451000
ff783477-a64b-4c13-bea0-cb7eafad3165,Journey Started,system,2026-01-16 12:11:50.112000+05:30,2026-01-16,Friday,'12:11:50.112000
ff783477-a64b-4c13-bea0-cb7eafad3165,Journey Ended,system,2026-01-16 12:11:50.113000+05:30,2026-01-16,Friday,'12:11:50.113000
ff783477-a64b-4c13-bea0-cb7eafad3165,Journey Started,system,2026-01-16 12:11:50.125000+05:30,2026-01-16,Friday,'12:11:50.125000
ff783477-a64b-4c13-bea0-cb7eafad3165,Journey Ended,system,2026-01-16 12:11:50.125000+05:30,2026-01-16,Friday,'12:11:50.125000
ff783477-a64b-4c13-bea0-cb7eafad3165,generate_otp,application,2026-01-16 12:11:58.977000+05:30,2026-01-16,Friday,'12:11:58.977000
ff783477-a64b-4c13-bea0-cb7eafad3165,Onboarding_get_otp,application,2026-01-16 12:11:58.999000+05:30,2026-01-16,Friday,'12:11:58.999000
ff783477-a64b-4c13-bea0-cb7eafad3165,_auth_generate-otp,application,2026-01-16 12:11:59.800000+05:30,2026-01-16,Friday,'12:11:59.800000
ff783477-a64b-4c13-bea0-cb7eafad3165,get_otp,application,2026-01-16 12:11:59.810000+05:30,2026-01-16,Friday,'12:11:59.810000
ff783477-a64b-4c13-bea0-cb7eafad3165,Onboarding_signup_,application,2026-01-16 12:11:59.852000+05:30,2026-01-16,Friday,'12:11:59.852000
