user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,DeviceInfo,application,2026-01-02 14:59:53.090000+05:30,2026-01-02,Friday,'14:59:53.090000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Session Started,system,2026-01-02 14:59:53.381000+05:30,2026-01-02,Friday,'14:59:53.381000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,App Installed,system,2026-01-02 14:59:53.396000+05:30,2026-01-02,Friday,'14:59:53.396000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,app_start,application,2026-01-02 14:59:53.952000+05:30,2026-01-02,Friday,'14:59:53.952000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Push Subscribe Process - Device Registered (Push),system,2026-01-02 14:59:55.074000+05:30,2026-01-02,Friday,'14:59:55.074000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Journey Started,system,2026-01-02 14:59:55.117000+05:30,2026-01-02,Friday,'14:59:55.117000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,choose_language,application,2026-01-02 14:59:56.303000+05:30,2026-01-02,Friday,'14:59:56.303000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_Language,application,2026-01-02 14:59:56.313000+05:30,2026-01-02,Friday,'14:59:56.313000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,generate_otp,application,2026-01-02 15:00:00.894000+05:30,2026-01-02,Friday,'15:00:00.894000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_get_otp,application,2026-01-02 15:00:00.903000+05:30,2026-01-02,Friday,'15:00:00.903000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Journey Ended,system,2026-01-02 15:00:02.788000+05:30,2026-01-02,Friday,'15:00:02.788000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Journey Started,system,2026-01-02 15:00:02.788000+05:30,2026-01-02,Friday,'15:00:02.788000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,generate_otp,application,2026-01-02 15:00:05.014000+05:30,2026-01-02,Friday,'15:00:05.014000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_get_otp,application,2026-01-02 15:00:05.021000+05:30,2026-01-02,Friday,'15:00:05.021000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,generate_otp,application,2026-01-02 15:00:12.885000+05:30,2026-01-02,Friday,'15:00:12.885000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_get_otp,application,2026-01-02 15:00:12.909000+05:30,2026-01-02,Friday,'15:00:12.909000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_auth_generate-otp,application,2026-01-02 15:00:13.608000+05:30,2026-01-02,Friday,'15:00:13.608000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,get_otp,application,2026-01-02 15:00:13.621000+05:30,2026-01-02,Friday,'15:00:13.621000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_signup_,application,2026-01-02 15:00:13.632000+05:30,2026-01-02,Friday,'15:00:13.632000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,verify_otp,application,2026-01-02 15:00:25.941000+05:30,2026-01-02,Friday,'15:00:25.941000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_auth_verify-otp,application,2026-01-02 15:00:26.181000+05:30,2026-01-02,Friday,'15:00:26.181000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,enter_otp,application,2026-01-02 15:00:26.201000+05:30,2026-01-02,Friday,'15:00:26.201000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,User Login,system,2026-01-02 15:00:26.232000+05:30,2026-01-02,Friday,'15:00:26.232000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,login,application,2026-01-02 15:00:26.474000+05:30,2026-01-02,Friday,'15:00:26.474000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,verify_otp,application,2026-01-02 15:00:26.529000+05:30,2026-01-02,Friday,'15:00:26.529000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user,application,2026-01-02 15:00:26.551000+05:30,2026-01-02,Friday,'15:00:26.551000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_auth_verify-otp,application,2026-01-02 15:00:26.567000+05:30,2026-01-02,Friday,'15:00:26.567000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,enter_otp,application,2026-01-02 15:00:26.582000+05:30,2026-01-02,Friday,'15:00:26.582000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,login,application,2026-01-02 15:00:26.590000+05:30,2026-01-02,Friday,'15:00:26.590000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user,application,2026-01-02 15:00:26.738000+05:30,2026-01-02,Friday,'15:00:26.738000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_from-town,application,2026-01-02 15:00:26.787000+05:30,2026-01-02,Friday,'15:00:26.787000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Onboarding_Profile Saved,application,2026-01-02 15:00:40.570000+05:30,2026-01-02,Friday,'15:00:40.570000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user,application,2026-01-02 15:00:41.748000+05:30,2026-01-02,Friday,'15:00:41.748000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_history_recommended-journey,application,2026-01-02 15:00:42.972000+05:30,2026-01-02,Friday,'15:00:42.972000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user_device,application,2026-01-02 15:00:43.024000+05:30,2026-01-02,Friday,'15:00:43.024000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_from-town,application,2026-01-02 15:00:43.108000+05:30,2026-01-02,Friday,'15:00:43.108000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user,application,2026-01-02 15:00:43.116000+05:30,2026-01-02,Friday,'15:00:43.116000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_special-town-search,application,2026-01-02 15:00:43.415000+05:30,2026-01-02,Friday,'15:00:43.415000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_ticket,application,2026-01-02 15:00:43.458000+05:30,2026-01-02,Friday,'15:00:43.458000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_special-town-search,application,2026-01-02 15:00:45.047000+05:30,2026-01-02,Friday,'15:00:45.047000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_elastic-town-search,application,2026-01-02 15:00:45.174000+05:30,2026-01-02,Friday,'15:00:45.174000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_special-town-search,application,2026-01-02 15:00:52.837000+05:30,2026-01-02,Friday,'15:00:52.837000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_location_elastic-town-search,application,2026-01-02 15:00:57.283000+05:30,2026-01-02,Friday,'15:00:57.283000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Buslist_date change,application,2026-01-02 15:01:19.397000+05:30,2026-01-02,Friday,'15:01:19.397000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_user,application,2026-01-02 15:01:19.543000+05:30,2026-01-02,Friday,'15:01:19.543000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,pageview_bus_list,application,2026-01-02 15:01:19.561000+05:30,2026-01-02,Friday,'15:01:19.561000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_bus-search_user-bus-search,application,2026-01-02 15:01:19.680000+05:30,2026-01-02,Friday,'15:01:19.680000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_bus-search_list,application,2026-01-02 15:01:21.142000+05:30,2026-01-02,Friday,'15:01:21.142000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,_rewards_best-V2,application,2026-01-02 15:01:22.112000+05:30,2026-01-02,Friday,'15:01:22.112000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,Buslist_date change,application,2026-01-02 15:01:22.116000+05:30,2026-01-02,Friday,'15:01:22.116000
c1d94f0f-8672-43c1-b05c-2c1805f0b3dc,bus_search,application,2026-01-02 15:01:22.120000+05:30,2026-01-02,Friday,'15:01:22.120000
