user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,DeviceInfo,application,2026-01-01 21:26:40.104000+05:30,2026-01-01,Thursday,'21:26:40.104000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Session Started,system,2026-01-01 21:26:43.742000+05:30,2026-01-01,Thursday,'21:26:43.742000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,App Installed,system,2026-01-01 21:26:44.027000+05:30,2026-01-01,Thursday,'21:26:44.027000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Push Subscribe Process - Device Registered (Push),system,2026-01-01 21:26:44.247000+05:30,2026-01-01,Thursday,'21:26:44.247000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,app_start,application,2026-01-01 21:26:44.294000+05:30,2026-01-01,Thursday,'21:26:44.294000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Journey Started,system,2026-01-01 21:26:45.009000+05:30,2026-01-01,Thursday,'21:26:45.009000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,choose_language,application,2026-01-01 21:26:48.212000+05:30,2026-01-01,Thursday,'21:26:48.212000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Onboarding_Language,application,2026-01-01 21:26:48.246000+05:30,2026-01-01,Thursday,'21:26:48.246000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,choose_language,application,2026-01-01 21:26:48.323000+05:30,2026-01-01,Thursday,'21:26:48.323000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Onboarding_Language,application,2026-01-01 21:26:48.373000+05:30,2026-01-01,Thursday,'21:26:48.373000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Journey Ended,system,2026-01-01 21:26:49.208000+05:30,2026-01-01,Thursday,'21:26:49.208000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Journey Started,system,2026-01-01 21:26:49.208000+05:30,2026-01-01,Thursday,'21:26:49.208000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Journey Ended,system,2026-01-01 21:26:49.212000+05:30,2026-01-01,Thursday,'21:26:49.212000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,Journey Started,system,2026-01-01 21:26:49.212000+05:30,2026-01-01,Thursday,'21:26:49.212000
d9f0a789-d96c-466a-81bc-2730c9c5a3cc,generate_otp,application,2026-01-01 21:26:58.286000+05:30,2026-01-01,Thursday,'21:26:58.286000
