user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6dc61f2a-a005-4eab-9b46-6522a202485c,DeviceInfo,application,2026-01-01 16:12:53.220000+05:30,2026-01-01,Thursday,'16:12:53.220000
6dc61f2a-a005-4eab-9b46-6522a202485c,App Installed,system,2026-01-01 16:12:53.647000+05:30,2026-01-01,Thursday,'16:12:53.647000
6dc61f2a-a005-4eab-9b46-6522a202485c,Session Started,system,2026-01-01 16:12:53.647000+05:30,2026-01-01,Thursday,'16:12:53.647000
6dc61f2a-a005-4eab-9b46-6522a202485c,Journey Started,system,2026-01-01 16:12:53.713000+05:30,2026-01-01,Thursday,'16:12:53.713000
6dc61f2a-a005-4eab-9b46-6522a202485c,Push Subscribe Process - Device Registered (Push),system,2026-01-01 16:12:54.090000+05:30,2026-01-01,Thursday,'16:12:54.090000
6dc61f2a-a005-4eab-9b46-6522a202485c,app_start,application,2026-01-01 16:12:54.090000+05:30,2026-01-01,Thursday,'16:12:54.090000
6dc61f2a-a005-4eab-9b46-6522a202485c,choose_language,application,2026-01-01 16:12:57.941000+05:30,2026-01-01,Thursday,'16:12:57.941000
6dc61f2a-a005-4eab-9b46-6522a202485c,Onboarding_Language,application,2026-01-01 16:12:57.966000+05:30,2026-01-01,Thursday,'16:12:57.966000
6dc61f2a-a005-4eab-9b46-6522a202485c,generate_otp,application,2026-01-01 16:13:37.124000+05:30,2026-01-01,Thursday,'16:13:37.124000
6dc61f2a-a005-4eab-9b46-6522a202485c,Onboarding_get_otp,application,2026-01-01 16:13:37.124000+05:30,2026-01-01,Thursday,'16:13:37.124000
6dc61f2a-a005-4eab-9b46-6522a202485c,Journey Started,system,2026-01-01 16:13:37.156000+05:30,2026-01-01,Thursday,'16:13:37.156000
6dc61f2a-a005-4eab-9b46-6522a202485c,Journey Ended,system,2026-01-01 16:13:37.156000+05:30,2026-01-01,Thursday,'16:13:37.156000
6dc61f2a-a005-4eab-9b46-6522a202485c,_auth_generate-otp,application,2026-01-01 16:13:38.653000+05:30,2026-01-01,Thursday,'16:13:38.653000
