user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b4ee56fc-9fac-44c3-9986-1c1566034e5e,DeviceInfo,application,2026-01-17 09:05:38.539000+05:30,2026-01-17,Saturday,'09:05:38.539000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Session Started,system,2026-01-17 09:05:39.393000+05:30,2026-01-17,Saturday,'09:05:39.393000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,App Installed,system,2026-01-17 09:05:40.497000+05:30,2026-01-17,Saturday,'09:05:40.497000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Journey Started,system,2026-01-17 09:05:42.648000+05:30,2026-01-17,Saturday,'09:05:42.648000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Push Subscribe Process - Device Registered (Push),system,2026-01-17 09:05:43.018000+05:30,2026-01-17,Saturday,'09:05:43.018000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,app_start,application,2026-01-17 09:05:45.701000+05:30,2026-01-17,Saturday,'09:05:45.701000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,choose_language,application,2026-01-17 09:05:50.537000+05:30,2026-01-17,Saturday,'09:05:50.537000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Onboarding_Language,application,2026-01-17 09:05:50.544000+05:30,2026-01-17,Saturday,'09:05:50.544000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,generate_otp,application,2026-01-17 09:05:57.113000+05:30,2026-01-17,Saturday,'09:05:57.113000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Onboarding_get_otp,application,2026-01-17 09:05:57.126000+05:30,2026-01-17,Saturday,'09:05:57.126000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Journey Ended,system,2026-01-17 09:05:57.344000+05:30,2026-01-17,Saturday,'09:05:57.344000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Journey Started,system,2026-01-17 09:05:57.344000+05:30,2026-01-17,Saturday,'09:05:57.344000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_auth_generate-otp,application,2026-01-17 09:05:58.718000+05:30,2026-01-17,Saturday,'09:05:58.718000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,get_otp,application,2026-01-17 09:05:58.728000+05:30,2026-01-17,Saturday,'09:05:58.728000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,Onboarding_signup_,application,2026-01-17 09:05:58.737000+05:30,2026-01-17,Saturday,'09:05:58.737000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,verify_otp,application,2026-01-17 09:06:01.705000+05:30,2026-01-17,Saturday,'09:06:01.705000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_auth_verify-otp,application,2026-01-17 09:06:01.974000+05:30,2026-01-17,Saturday,'09:06:01.974000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,enter_otp,application,2026-01-17 09:06:02.025000+05:30,2026-01-17,Saturday,'09:06:02.025000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,User Login,system,2026-01-17 09:06:02.072000+05:30,2026-01-17,Saturday,'09:06:02.072000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,login,application,2026-01-17 09:06:02.432000+05:30,2026-01-17,Saturday,'09:06:02.432000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_user,application,2026-01-17 09:06:02.468000+05:30,2026-01-17,Saturday,'09:06:02.468000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_history_recommended-journey,application,2026-01-17 09:06:04.349000+05:30,2026-01-17,Saturday,'09:06:04.349000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_user_device,application,2026-01-17 09:06:04.486000+05:30,2026-01-17,Saturday,'09:06:04.486000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_user,application,2026-01-17 09:06:04.526000+05:30,2026-01-17,Saturday,'09:06:04.526000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_ticket,application,2026-01-17 09:06:04.754000+05:30,2026-01-17,Saturday,'09:06:04.754000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_location_special-town-search,application,2026-01-17 09:06:08.173000+05:30,2026-01-17,Saturday,'09:06:08.173000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_location_from-town,application,2026-01-17 09:06:08.398000+05:30,2026-01-17,Saturday,'09:06:08.398000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_location_special-town-search,application,2026-01-17 09:06:08.651000+05:30,2026-01-17,Saturday,'09:06:08.651000
b4ee56fc-9fac-44c3-9986-1c1566034e5e,_location_elastic-town-search,application,2026-01-17 09:06:09.017000+05:30,2026-01-17,Saturday,'09:06:09.017000
