user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,DeviceInfo,application,2026-01-01 12:37:11.220000+05:30,2026-01-01,Thursday,'12:37:11.220000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Session Started,system,2026-01-01 12:37:12.226000+05:30,2026-01-01,Thursday,'12:37:12.226000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,App Installed,system,2026-01-01 12:37:12.816000+05:30,2026-01-01,Thursday,'12:37:12.816000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Push Subscribe Process - Device Registered (Push),system,2026-01-01 12:37:12.939000+05:30,2026-01-01,Thursday,'12:37:12.939000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Journey Started,system,2026-01-01 12:37:17.880000+05:30,2026-01-01,Thursday,'12:37:17.880000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Session Started,system,2026-01-01 12:38:01.701000+05:30,2026-01-01,Thursday,'12:38:01.701000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,choose_language,application,2026-01-01 12:38:18.322000+05:30,2026-01-01,Thursday,'12:38:18.322000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Onboarding_Language,application,2026-01-01 12:38:18.334000+05:30,2026-01-01,Thursday,'12:38:18.334000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,generate_otp,application,2026-01-01 12:38:38.737000+05:30,2026-01-01,Thursday,'12:38:38.737000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Onboarding_get_otp,application,2026-01-01 12:38:38.782000+05:30,2026-01-01,Thursday,'12:38:38.782000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,_auth_generate-otp,application,2026-01-01 12:38:39.720000+05:30,2026-01-01,Thursday,'12:38:39.720000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,get_otp,application,2026-01-01 12:38:39.734000+05:30,2026-01-01,Thursday,'12:38:39.734000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Onboarding_signup_,application,2026-01-01 12:38:39.746000+05:30,2026-01-01,Thursday,'12:38:39.746000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Journey Ended,system,2026-01-01 12:38:44.265000+05:30,2026-01-01,Thursday,'12:38:44.265000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,Journey Started,system,2026-01-01 12:38:44.265000+05:30,2026-01-01,Thursday,'12:38:44.265000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,verify_otp,application,2026-01-01 12:39:54.448000+05:30,2026-01-01,Thursday,'12:39:54.448000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,_auth_verify-otp,application,2026-01-01 12:39:54.979000+05:30,2026-01-01,Thursday,'12:39:54.979000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,enter_otp,application,2026-01-01 12:39:54.996000+05:30,2026-01-01,Thursday,'12:39:54.996000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,User Login,system,2026-01-01 12:39:55.046000+05:30,2026-01-01,Thursday,'12:39:55.046000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,login,application,2026-01-01 12:39:55.516000+05:30,2026-01-01,Thursday,'12:39:55.516000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,_user,application,2026-01-01 12:39:55.547000+05:30,2026-01-01,Thursday,'12:39:55.547000
3f86c940-23cb-4c8f-8bb8-876213dfa7e6,_location_from-town,application,2026-01-01 12:39:56.160000+05:30,2026-01-01,Thursday,'12:39:56.160000
