user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
dbb310e2-9f4b-46ab-867b-bc00a3673b63,DeviceInfo,application,2026-01-15 04:18:37.310000+05:30,2026-01-15,Thursday,'04:18:37.310000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Session Started,system,2026-01-15 04:18:37.846000+05:30,2026-01-15,Thursday,'04:18:37.846000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,App Installed,system,2026-01-15 04:18:37.888000+05:30,2026-01-15,Thursday,'04:18:37.888000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Push Subscribe Process - Device Registered (Push),system,2026-01-15 04:18:37.961000+05:30,2026-01-15,Thursday,'04:18:37.961000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,app_start,application,2026-01-15 04:18:38.924000+05:30,2026-01-15,Thursday,'04:18:38.924000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Started,system,2026-01-15 04:18:39.153000+05:30,2026-01-15,Thursday,'04:18:39.153000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,choose_language,application,2026-01-15 04:18:44.033000+05:30,2026-01-15,Thursday,'04:18:44.033000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Onboarding_Language,application,2026-01-15 04:18:44.049000+05:30,2026-01-15,Thursday,'04:18:44.049000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,choose_language,application,2026-01-15 04:18:44.094000+05:30,2026-01-15,Thursday,'04:18:44.094000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Onboarding_Language,application,2026-01-15 04:18:44.111000+05:30,2026-01-15,Thursday,'04:18:44.111000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,choose_language,application,2026-01-15 04:18:44.124000+05:30,2026-01-15,Thursday,'04:18:44.124000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Onboarding_Language,application,2026-01-15 04:18:44.142000+05:30,2026-01-15,Thursday,'04:18:44.142000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Started,system,2026-01-15 04:18:45.425000+05:30,2026-01-15,Thursday,'04:18:45.425000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Ended,system,2026-01-15 04:18:45.425000+05:30,2026-01-15,Thursday,'04:18:45.425000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Started,system,2026-01-15 04:18:45.438000+05:30,2026-01-15,Thursday,'04:18:45.438000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Ended,system,2026-01-15 04:18:45.438000+05:30,2026-01-15,Thursday,'04:18:45.438000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,generate_otp,application,2026-01-15 04:19:05.201000+05:30,2026-01-15,Thursday,'04:19:05.201000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Onboarding_get_otp,application,2026-01-15 04:19:05.236000+05:30,2026-01-15,Thursday,'04:19:05.236000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Started,system,2026-01-15 04:19:06.693000+05:30,2026-01-15,Thursday,'04:19:06.693000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,Journey Ended,system,2026-01-15 04:19:06.693000+05:30,2026-01-15,Thursday,'04:19:06.693000
dbb310e2-9f4b-46ab-867b-bc00a3673b63,_auth_generate-otp,application,2026-01-15 04:19:07.226000+05:30,2026-01-15,Thursday,'04:19:07.226000
