user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,DeviceInfo,application,2026-01-01 18:47:59.333000+05:30,2026-01-01,Thursday,'18:47:59.333000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Session Started,system,2026-01-01 18:48:00.456000+05:30,2026-01-01,Thursday,'18:48:00.456000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,App Installed,system,2026-01-01 18:48:01.484000+05:30,2026-01-01,Thursday,'18:48:01.484000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Push Subscribe Process - Device Registered (Push),system,2026-01-01 18:48:01.675000+05:30,2026-01-01,Thursday,'18:48:01.675000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Journey Started,system,2026-01-01 18:48:01.878000+05:30,2026-01-01,Thursday,'18:48:01.878000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,app_start,application,2026-01-01 18:48:02.582000+05:30,2026-01-01,Thursday,'18:48:02.582000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,choose_language,application,2026-01-01 18:48:04.814000+05:30,2026-01-01,Thursday,'18:48:04.814000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Onboarding_Language,application,2026-01-01 18:48:04.844000+05:30,2026-01-01,Thursday,'18:48:04.844000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,generate_otp,application,2026-01-01 18:48:21.074000+05:30,2026-01-01,Thursday,'18:48:21.074000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Onboarding_get_otp,application,2026-01-01 18:48:21.174000+05:30,2026-01-01,Thursday,'18:48:21.174000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Journey Ended,system,2026-01-01 18:48:21.676000+05:30,2026-01-01,Thursday,'18:48:21.676000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,Journey Started,system,2026-01-01 18:48:21.676000+05:30,2026-01-01,Thursday,'18:48:21.676000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,_auth_generate-otp,application,2026-01-01 18:48:22.275000+05:30,2026-01-01,Thursday,'18:48:22.275000
c9e0c853-4f23-4ac1-9411-0ccdb217c24a,get_otp,application,2026-01-01 18:48:22.327000+05:30,2026-01-01,Thursday,'18:48:22.327000
