user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
bdb9b37f-2540-4e67-ae46-460bdb194635,DeviceInfo,application,2026-01-13 03:15:06.999000+05:30,2026-01-13,Tuesday,'03:15:06.999000
bdb9b37f-2540-4e67-ae46-460bdb194635,Session Started,system,2026-01-13 03:15:07.450000+05:30,2026-01-13,Tuesday,'03:15:07.450000
bdb9b37f-2540-4e67-ae46-460bdb194635,App Installed,system,2026-01-13 03:15:07.544000+05:30,2026-01-13,Tuesday,'03:15:07.544000
bdb9b37f-2540-4e67-ae46-460bdb194635,Journey Started,system,2026-01-13 03:15:07.956000+05:30,2026-01-13,Tuesday,'03:15:07.956000
bdb9b37f-2540-4e67-ae46-460bdb194635,app_start,application,2026-01-13 03:15:08.794000+05:30,2026-01-13,Tuesday,'03:15:08.794000
bdb9b37f-2540-4e67-ae46-460bdb194635,Push Subscribe Process - Device Registered (Push),system,2026-01-13 03:15:09.053000+05:30,2026-01-13,Tuesday,'03:15:09.053000
bdb9b37f-2540-4e67-ae46-460bdb194635,choose_language,application,2026-01-13 03:15:14.133000+05:30,2026-01-13,Tuesday,'03:15:14.133000
bdb9b37f-2540-4e67-ae46-460bdb194635,Onboarding_Language,application,2026-01-13 03:15:14.146000+05:30,2026-01-13,Tuesday,'03:15:14.146000
bdb9b37f-2540-4e67-ae46-460bdb194635,generate_otp,application,2026-01-13 03:15:25.111000+05:30,2026-01-13,Tuesday,'03:15:25.111000
bdb9b37f-2540-4e67-ae46-460bdb194635,Onboarding_get_otp,application,2026-01-13 03:15:25.132000+05:30,2026-01-13,Tuesday,'03:15:25.132000
bdb9b37f-2540-4e67-ae46-460bdb194635,Journey Started,system,2026-01-13 03:15:25.793000+05:30,2026-01-13,Tuesday,'03:15:25.793000
bdb9b37f-2540-4e67-ae46-460bdb194635,Journey Ended,system,2026-01-13 03:15:25.793000+05:30,2026-01-13,Tuesday,'03:15:25.793000
bdb9b37f-2540-4e67-ae46-460bdb194635,_auth_generate-otp,application,2026-01-13 03:15:27.123000+05:30,2026-01-13,Tuesday,'03:15:27.123000
bdb9b37f-2540-4e67-ae46-460bdb194635,get_otp,application,2026-01-13 03:15:27.143000+05:30,2026-01-13,Tuesday,'03:15:27.143000
bdb9b37f-2540-4e67-ae46-460bdb194635,Onboarding_signup_,application,2026-01-13 03:15:27.182000+05:30,2026-01-13,Tuesday,'03:15:27.182000
bdb9b37f-2540-4e67-ae46-460bdb194635,verify_otp,application,2026-01-13 03:15:30.327000+05:30,2026-01-13,Tuesday,'03:15:30.327000
bdb9b37f-2540-4e67-ae46-460bdb194635,_auth_verify-otp,application,2026-01-13 03:15:30.579000+05:30,2026-01-13,Tuesday,'03:15:30.579000
bdb9b37f-2540-4e67-ae46-460bdb194635,enter_otp,application,2026-01-13 03:15:30.604000+05:30,2026-01-13,Tuesday,'03:15:30.604000
bdb9b37f-2540-4e67-ae46-460bdb194635,User Login,system,2026-01-13 03:15:30.639000+05:30,2026-01-13,Tuesday,'03:15:30.639000
bdb9b37f-2540-4e67-ae46-460bdb194635,login,application,2026-01-13 03:15:31.128000+05:30,2026-01-13,Tuesday,'03:15:31.128000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user,application,2026-01-13 03:15:31.135000+05:30,2026-01-13,Tuesday,'03:15:31.135000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_from-town,application,2026-01-13 03:15:31.351000+05:30,2026-01-13,Tuesday,'03:15:31.351000
bdb9b37f-2540-4e67-ae46-460bdb194635,Onboarding_Profile Saved,application,2026-01-13 03:15:32.183000+05:30,2026-01-13,Tuesday,'03:15:32.183000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user,application,2026-01-13 03:15:51.778000+05:30,2026-01-13,Tuesday,'03:15:51.778000
bdb9b37f-2540-4e67-ae46-460bdb194635,_history_recommended-journey,application,2026-01-13 03:15:54.204000+05:30,2026-01-13,Tuesday,'03:15:54.204000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user_device,application,2026-01-13 03:15:54.257000+05:30,2026-01-13,Tuesday,'03:15:54.257000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_from-town,application,2026-01-13 03:15:54.282000+05:30,2026-01-13,Tuesday,'03:15:54.282000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user,application,2026-01-13 03:15:54.297000+05:30,2026-01-13,Tuesday,'03:15:54.297000
bdb9b37f-2540-4e67-ae46-460bdb194635,_ticket,application,2026-01-13 03:15:54.495000+05:30,2026-01-13,Tuesday,'03:15:54.495000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_special-town-search,application,2026-01-13 03:15:54.575000+05:30,2026-01-13,Tuesday,'03:15:54.575000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_elastic-town-search,application,2026-01-13 03:15:55.918000+05:30,2026-01-13,Tuesday,'03:15:55.918000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_special-town-search,application,2026-01-13 03:16:04.570000+05:30,2026-01-13,Tuesday,'03:16:04.570000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_elastic-town-search,application,2026-01-13 03:16:04.802000+05:30,2026-01-13,Tuesday,'03:16:04.802000
bdb9b37f-2540-4e67-ae46-460bdb194635,Buslist_date change,application,2026-01-13 03:16:17.483000+05:30,2026-01-13,Tuesday,'03:16:17.483000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user,application,2026-01-13 03:16:17.807000+05:30,2026-01-13,Tuesday,'03:16:17.807000
bdb9b37f-2540-4e67-ae46-460bdb194635,pageview_bus_list,application,2026-01-13 03:16:17.820000+05:30,2026-01-13,Tuesday,'03:16:17.820000
bdb9b37f-2540-4e67-ae46-460bdb194635,_bus-search_user-bus-search,application,2026-01-13 03:16:18.050000+05:30,2026-01-13,Tuesday,'03:16:18.050000
bdb9b37f-2540-4e67-ae46-460bdb194635,Buslist_date change,application,2026-01-13 03:16:39.141000+05:30,2026-01-13,Tuesday,'03:16:39.141000
bdb9b37f-2540-4e67-ae46-460bdb194635,date_change_on_bus_list,application,2026-01-13 03:16:39.171000+05:30,2026-01-13,Tuesday,'03:16:39.171000
bdb9b37f-2540-4e67-ae46-460bdb194635,date_select,application,2026-01-13 03:16:39.181000+05:30,2026-01-13,Tuesday,'03:16:39.181000
bdb9b37f-2540-4e67-ae46-460bdb194635,_bus-search_user-bus-search,application,2026-01-13 03:16:39.295000+05:30,2026-01-13,Tuesday,'03:16:39.295000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_special-town-search,application,2026-01-13 03:17:44.327000+05:30,2026-01-13,Tuesday,'03:17:44.327000
bdb9b37f-2540-4e67-ae46-460bdb194635,_location_elastic-town-search,application,2026-01-13 03:17:44.537000+05:30,2026-01-13,Tuesday,'03:17:44.537000
bdb9b37f-2540-4e67-ae46-460bdb194635,Buslist_date change,application,2026-01-13 03:17:56.569000+05:30,2026-01-13,Tuesday,'03:17:56.569000
bdb9b37f-2540-4e67-ae46-460bdb194635,_user,application,2026-01-13 03:17:56.931000+05:30,2026-01-13,Tuesday,'03:17:56.931000
bdb9b37f-2540-4e67-ae46-460bdb194635,pageview_bus_list,application,2026-01-13 03:17:56.961000+05:30,2026-01-13,Tuesday,'03:17:56.961000
bdb9b37f-2540-4e67-ae46-460bdb194635,_bus-search_user-bus-search,application,2026-01-13 03:17:57.002000+05:30,2026-01-13,Tuesday,'03:17:57.002000
bdb9b37f-2540-4e67-ae46-460bdb194635,_bus-search_list,application,2026-01-13 03:18:03.088000+05:30,2026-01-13,Tuesday,'03:18:03.088000
bdb9b37f-2540-4e67-ae46-460bdb194635,_rewards_best-V2,application,2026-01-13 03:18:03.499000+05:30,2026-01-13,Tuesday,'03:18:03.499000
bdb9b37f-2540-4e67-ae46-460bdb194635,Buslist_date change,application,2026-01-13 03:18:03.509000+05:30,2026-01-13,Tuesday,'03:18:03.509000
bdb9b37f-2540-4e67-ae46-460bdb194635,bus_search,application,2026-01-13 03:18:03.966000+05:30,2026-01-13,Tuesday,'03:18:03.966000
bdb9b37f-2540-4e67-ae46-460bdb194635,bus_result,application,2026-01-13 03:18:03.988000+05:30,2026-01-13,Tuesday,'03:18:03.988000
bdb9b37f-2540-4e67-ae46-460bdb194635,Journey Started,system,2026-01-13 03:18:26.886000+05:30,2026-01-13,Tuesday,'03:18:26.886000
bdb9b37f-2540-4e67-ae46-460bdb194635,Onboarding_backpressed,application,2026-01-13 03:19:46.706000+05:30,2026-01-13,Tuesday,'03:19:46.706000
bdb9b37f-2540-4e67-ae46-460bdb194635,Push Failure,system,2026-01-13 03:33:42.945000+05:30,2026-01-13,Tuesday,'03:33:42.945000
bdb9b37f-2540-4e67-ae46-460bdb194635,Journey Ended,system,2026-01-13 09:34:14.202000+05:30,2026-01-13,Tuesday,'09:34:14.202000
bdb9b37f-2540-4e67-ae46-460bdb194635,Push Failure,system,2026-01-14 03:15:17.919000+05:30,2026-01-14,Wednesday,'03:15:17.919000
