user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8cf26716-a601-4a3f-9eaa-f24c9aac9639,DeviceInfo,application,2026-01-16 15:59:51.071000+05:30,2026-01-16,Friday,'15:59:51.071000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Session Started,system,2026-01-16 15:59:53.062000+05:30,2026-01-16,Friday,'15:59:53.062000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,App Installed,system,2026-01-16 15:59:53.277000+05:30,2026-01-16,Friday,'15:59:53.277000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Push Subscribe Process - Device Registered (Push),system,2026-01-16 15:59:54.074000+05:30,2026-01-16,Friday,'15:59:54.074000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,app_start,application,2026-01-16 15:59:54.181000+05:30,2026-01-16,Friday,'15:59:54.181000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Journey Started,system,2026-01-16 15:59:55.932000+05:30,2026-01-16,Friday,'15:59:55.932000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,choose_language,application,2026-01-16 15:59:57.362000+05:30,2026-01-16,Friday,'15:59:57.362000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Onboarding_Language,application,2026-01-16 15:59:57.458000+05:30,2026-01-16,Friday,'15:59:57.458000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,choose_language,application,2026-01-16 15:59:59.642000+05:30,2026-01-16,Friday,'15:59:59.642000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Onboarding_Language,application,2026-01-16 15:59:59.649000+05:30,2026-01-16,Friday,'15:59:59.649000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Journey Started,system,2026-01-16 16:00:01.588000+05:30,2026-01-16,Friday,'16:00:01.588000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Journey Ended,system,2026-01-16 16:00:01.588000+05:30,2026-01-16,Friday,'16:00:01.588000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Journey Started,system,2026-01-16 16:00:01.625000+05:30,2026-01-16,Friday,'16:00:01.625000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Session Started,system,2026-01-16 16:01:05.421000+05:30,2026-01-16,Friday,'16:01:05.421000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,generate_otp,application,2026-01-16 16:01:10.107000+05:30,2026-01-16,Friday,'16:01:10.107000
8cf26716-a601-4a3f-9eaa-f24c9aac9639,Onboarding_get_otp,application,2026-01-16 16:01:10.163000+05:30,2026-01-16,Friday,'16:01:10.163000
