user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2c38d4aa-fae0-4202-98e2-df95200a9634,DeviceInfo,application,2026-01-15 11:15:12.437000+05:30,2026-01-15,Thursday,'11:15:12.437000
2c38d4aa-fae0-4202-98e2-df95200a9634,Session Started,system,2026-01-15 11:15:12.934000+05:30,2026-01-15,Thursday,'11:15:12.934000
2c38d4aa-fae0-4202-98e2-df95200a9634,App Installed,system,2026-01-15 11:15:13.390000+05:30,2026-01-15,Thursday,'11:15:13.390000
2c38d4aa-fae0-4202-98e2-df95200a9634,Push Subscribe Process - Device Registered (Push),system,2026-01-15 11:15:15.152000+05:30,2026-01-15,Thursday,'11:15:15.152000
2c38d4aa-fae0-4202-98e2-df95200a9634,Journey Started,system,2026-01-15 11:15:15.922000+05:30,2026-01-15,Thursday,'11:15:15.922000
2c38d4aa-fae0-4202-98e2-df95200a9634,app_start,application,2026-01-15 11:15:16.268000+05:30,2026-01-15,Thursday,'11:15:16.268000
2c38d4aa-fae0-4202-98e2-df95200a9634,Session Started,system,2026-01-15 12:12:23.084000+05:30,2026-01-15,Thursday,'12:12:23.084000
2c38d4aa-fae0-4202-98e2-df95200a9634,choose_language,application,2026-01-15 12:12:27.486000+05:30,2026-01-15,Thursday,'12:12:27.486000
2c38d4aa-fae0-4202-98e2-df95200a9634,Onboarding_Language,application,2026-01-15 12:12:27.515000+05:30,2026-01-15,Thursday,'12:12:27.515000
2c38d4aa-fae0-4202-98e2-df95200a9634,generate_otp,application,2026-01-15 12:12:35.048000+05:30,2026-01-15,Thursday,'12:12:35.048000
2c38d4aa-fae0-4202-98e2-df95200a9634,Onboarding_get_otp,application,2026-01-15 12:12:35.073000+05:30,2026-01-15,Thursday,'12:12:35.073000
2c38d4aa-fae0-4202-98e2-df95200a9634,_auth_generate-otp,application,2026-01-15 12:12:35.846000+05:30,2026-01-15,Thursday,'12:12:35.846000
2c38d4aa-fae0-4202-98e2-df95200a9634,get_otp,application,2026-01-15 12:12:35.858000+05:30,2026-01-15,Thursday,'12:12:35.858000
2c38d4aa-fae0-4202-98e2-df95200a9634,Onboarding_signup_,application,2026-01-15 12:12:35.883000+05:30,2026-01-15,Thursday,'12:12:35.883000
2c38d4aa-fae0-4202-98e2-df95200a9634,Journey Started,system,2026-01-15 12:12:38.073000+05:30,2026-01-15,Thursday,'12:12:38.073000
2c38d4aa-fae0-4202-98e2-df95200a9634,Journey Ended,system,2026-01-15 12:12:38.074000+05:30,2026-01-15,Thursday,'12:12:38.074000
2c38d4aa-fae0-4202-98e2-df95200a9634,verify_otp,application,2026-01-15 12:12:50.013000+05:30,2026-01-15,Thursday,'12:12:50.013000
2c38d4aa-fae0-4202-98e2-df95200a9634,_auth_verify-otp,application,2026-01-15 12:12:50.342000+05:30,2026-01-15,Thursday,'12:12:50.342000
2c38d4aa-fae0-4202-98e2-df95200a9634,enter_otp,application,2026-01-15 12:12:50.379000+05:30,2026-01-15,Thursday,'12:12:50.379000
2c38d4aa-fae0-4202-98e2-df95200a9634,User Login,system,2026-01-15 12:12:50.515000+05:30,2026-01-15,Thursday,'12:12:50.515000
2c38d4aa-fae0-4202-98e2-df95200a9634,login,application,2026-01-15 12:12:50.776000+05:30,2026-01-15,Thursday,'12:12:50.776000
2c38d4aa-fae0-4202-98e2-df95200a9634,_user,application,2026-01-15 12:12:50.856000+05:30,2026-01-15,Thursday,'12:12:50.856000
2c38d4aa-fae0-4202-98e2-df95200a9634,Session Started,system,2026-01-15 12:14:47.686000+05:30,2026-01-15,Thursday,'12:14:47.686000
2c38d4aa-fae0-4202-98e2-df95200a9634,Onboarding_Profile Saved,application,2026-01-15 12:14:49.577000+05:30,2026-01-15,Thursday,'12:14:49.577000
