user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
67338f34-25e2-4028-b6f7-527e4764c7d4,DeviceInfo,application,2026-01-12 23:51:45.777000+05:30,2026-01-12,Monday,'23:51:45.777000
67338f34-25e2-4028-b6f7-527e4764c7d4,Session Started,system,2026-01-12 23:51:46.640000+05:30,2026-01-12,Monday,'23:51:46.640000
67338f34-25e2-4028-b6f7-527e4764c7d4,App Installed,system,2026-01-12 23:51:46.788000+05:30,2026-01-12,Monday,'23:51:46.788000
67338f34-25e2-4028-b6f7-527e4764c7d4,app_start,application,2026-01-12 23:51:46.973000+05:30,2026-01-12,Monday,'23:51:46.973000
67338f34-25e2-4028-b6f7-527e4764c7d4,Push Subscribe Process - Device Registered (Push),system,2026-01-12 23:51:47.201000+05:30,2026-01-12,Monday,'23:51:47.201000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Started,system,2026-01-12 23:51:47.763000+05:30,2026-01-12,Monday,'23:51:47.763000
67338f34-25e2-4028-b6f7-527e4764c7d4,choose_language,application,2026-01-12 23:51:52.787000+05:30,2026-01-12,Monday,'23:51:52.787000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_Language,application,2026-01-12 23:51:52.849000+05:30,2026-01-12,Monday,'23:51:52.849000
67338f34-25e2-4028-b6f7-527e4764c7d4,choose_language,application,2026-01-12 23:51:53.086000+05:30,2026-01-12,Monday,'23:51:53.086000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_Language,application,2026-01-12 23:51:53.100000+05:30,2026-01-12,Monday,'23:51:53.100000
67338f34-25e2-4028-b6f7-527e4764c7d4,choose_language,application,2026-01-12 23:51:53.372000+05:30,2026-01-12,Monday,'23:51:53.372000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_Language,application,2026-01-12 23:51:53.404000+05:30,2026-01-12,Monday,'23:51:53.404000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Started,system,2026-01-12 23:51:54.058000+05:30,2026-01-12,Monday,'23:51:54.058000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Ended,system,2026-01-12 23:51:54.058000+05:30,2026-01-12,Monday,'23:51:54.058000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Started,system,2026-01-12 23:51:54.062000+05:30,2026-01-12,Monday,'23:51:54.062000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Ended,system,2026-01-12 23:51:54.062000+05:30,2026-01-12,Monday,'23:51:54.062000
67338f34-25e2-4028-b6f7-527e4764c7d4,generate_otp,application,2026-01-12 23:52:02.636000+05:30,2026-01-12,Monday,'23:52:02.636000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_get_otp,application,2026-01-12 23:52:02.665000+05:30,2026-01-12,Monday,'23:52:02.665000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Started,system,2026-01-12 23:52:03.623000+05:30,2026-01-12,Monday,'23:52:03.623000
67338f34-25e2-4028-b6f7-527e4764c7d4,Journey Ended,system,2026-01-12 23:52:03.623000+05:30,2026-01-12,Monday,'23:52:03.623000
67338f34-25e2-4028-b6f7-527e4764c7d4,_auth_generate-otp,application,2026-01-12 23:52:03.947000+05:30,2026-01-12,Monday,'23:52:03.947000
67338f34-25e2-4028-b6f7-527e4764c7d4,get_otp,application,2026-01-12 23:52:03.969000+05:30,2026-01-12,Monday,'23:52:03.969000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_signup_,application,2026-01-12 23:52:04.154000+05:30,2026-01-12,Monday,'23:52:04.154000
67338f34-25e2-4028-b6f7-527e4764c7d4,verify_otp,application,2026-01-12 23:52:10.189000+05:30,2026-01-12,Monday,'23:52:10.189000
67338f34-25e2-4028-b6f7-527e4764c7d4,_auth_verify-otp,application,2026-01-12 23:52:10.501000+05:30,2026-01-12,Monday,'23:52:10.501000
67338f34-25e2-4028-b6f7-527e4764c7d4,enter_otp,application,2026-01-12 23:52:10.561000+05:30,2026-01-12,Monday,'23:52:10.561000
67338f34-25e2-4028-b6f7-527e4764c7d4,User Login,system,2026-01-12 23:52:10.698000+05:30,2026-01-12,Monday,'23:52:10.698000
67338f34-25e2-4028-b6f7-527e4764c7d4,login,application,2026-01-12 23:52:11.043000+05:30,2026-01-12,Monday,'23:52:11.043000
67338f34-25e2-4028-b6f7-527e4764c7d4,_user,application,2026-01-12 23:52:11.069000+05:30,2026-01-12,Monday,'23:52:11.069000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_from-town,application,2026-01-12 23:52:12.138000+05:30,2026-01-12,Monday,'23:52:12.138000
67338f34-25e2-4028-b6f7-527e4764c7d4,Onboarding_Profile Saved,application,2026-01-12 23:52:13.485000+05:30,2026-01-12,Monday,'23:52:13.485000
67338f34-25e2-4028-b6f7-527e4764c7d4,_user,application,2026-01-12 23:52:27.492000+05:30,2026-01-12,Monday,'23:52:27.492000
67338f34-25e2-4028-b6f7-527e4764c7d4,_history_recommended-journey,application,2026-01-12 23:52:29.588000+05:30,2026-01-12,Monday,'23:52:29.588000
67338f34-25e2-4028-b6f7-527e4764c7d4,_user_device,application,2026-01-12 23:52:29.600000+05:30,2026-01-12,Monday,'23:52:29.600000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_from-town,application,2026-01-12 23:52:29.625000+05:30,2026-01-12,Monday,'23:52:29.625000
67338f34-25e2-4028-b6f7-527e4764c7d4,_user,application,2026-01-12 23:52:29.753000+05:30,2026-01-12,Monday,'23:52:29.753000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_special-town-search,application,2026-01-12 23:52:29.832000+05:30,2026-01-12,Monday,'23:52:29.832000
67338f34-25e2-4028-b6f7-527e4764c7d4,_ticket,application,2026-01-12 23:52:29.983000+05:30,2026-01-12,Monday,'23:52:29.983000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_special-town-search,application,2026-01-12 23:52:31.513000+05:30,2026-01-12,Monday,'23:52:31.513000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_elastic-town-search,application,2026-01-12 23:52:31.553000+05:30,2026-01-12,Monday,'23:52:31.553000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_special-town-search,application,2026-01-12 23:53:20.771000+05:30,2026-01-12,Monday,'23:53:20.771000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_elastic-town-search,application,2026-01-12 23:53:20.912000+05:30,2026-01-12,Monday,'23:53:20.912000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_special-town-search,application,2026-01-12 23:53:47.975000+05:30,2026-01-12,Monday,'23:53:47.975000
67338f34-25e2-4028-b6f7-527e4764c7d4,_location_elastic-town-search,application,2026-01-12 23:53:48.150000+05:30,2026-01-12,Monday,'23:53:48.150000
67338f34-25e2-4028-b6f7-527e4764c7d4,Buslist_date change,application,2026-01-12 23:54:28.855000+05:30,2026-01-12,Monday,'23:54:28.855000
67338f34-25e2-4028-b6f7-527e4764c7d4,_user,application,2026-01-12 23:54:29.298000+05:30,2026-01-12,Monday,'23:54:29.298000
67338f34-25e2-4028-b6f7-527e4764c7d4,pageview_bus_list,application,2026-01-12 23:54:29.311000+05:30,2026-01-12,Monday,'23:54:29.311000
