user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,DeviceInfo,application,2026-01-13 07:54:08.884000+05:30,2026-01-13,Tuesday,'07:54:08.884000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Session Started,system,2026-01-13 07:54:09.696000+05:30,2026-01-13,Tuesday,'07:54:09.696000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,App Installed,system,2026-01-13 07:54:09.732000+05:30,2026-01-13,Tuesday,'07:54:09.732000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Started,system,2026-01-13 07:54:10.493000+05:30,2026-01-13,Tuesday,'07:54:10.493000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Push Subscribe Process - Device Registered (Push),system,2026-01-13 07:54:11.254000+05:30,2026-01-13,Tuesday,'07:54:11.254000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,app_start,application,2026-01-13 07:54:17.329000+05:30,2026-01-13,Tuesday,'07:54:17.329000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,choose_language,application,2026-01-13 07:54:22.318000+05:30,2026-01-13,Tuesday,'07:54:22.318000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Onboarding_Language,application,2026-01-13 07:54:22.333000+05:30,2026-01-13,Tuesday,'07:54:22.333000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,choose_language,application,2026-01-13 07:54:22.503000+05:30,2026-01-13,Tuesday,'07:54:22.503000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Onboarding_Language,application,2026-01-13 07:54:22.516000+05:30,2026-01-13,Tuesday,'07:54:22.516000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,choose_language,application,2026-01-13 07:54:23.488000+05:30,2026-01-13,Tuesday,'07:54:23.488000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Onboarding_Language,application,2026-01-13 07:54:23.494000+05:30,2026-01-13,Tuesday,'07:54:23.494000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Ended,system,2026-01-13 07:54:24.464000+05:30,2026-01-13,Tuesday,'07:54:24.464000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Started,system,2026-01-13 07:54:24.464000+05:30,2026-01-13,Tuesday,'07:54:24.464000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Ended,system,2026-01-13 07:54:24.466000+05:30,2026-01-13,Tuesday,'07:54:24.466000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,generate_otp,application,2026-01-13 07:54:28.827000+05:30,2026-01-13,Tuesday,'07:54:28.827000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Onboarding_get_otp,application,2026-01-13 07:54:28.844000+05:30,2026-01-13,Tuesday,'07:54:28.844000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Started,system,2026-01-13 07:54:29.583000+05:30,2026-01-13,Tuesday,'07:54:29.583000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Journey Ended,system,2026-01-13 07:54:29.583000+05:30,2026-01-13,Tuesday,'07:54:29.583000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,_auth_generate-otp,application,2026-01-13 07:54:34.804000+05:30,2026-01-13,Tuesday,'07:54:34.804000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,get_otp,application,2026-01-13 07:54:34.830000+05:30,2026-01-13,Tuesday,'07:54:34.830000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,Onboarding_signup_,application,2026-01-13 07:54:34.915000+05:30,2026-01-13,Tuesday,'07:54:34.915000
5469d54b-5e39-4fe4-a8d5-d3214f8d1a11,verify_otp,application,2026-01-13 07:54:38.477000+05:30,2026-01-13,Tuesday,'07:54:38.477000
