user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
48b53b6c-6ba1-4055-9290-91670a932068,DeviceInfo,application,2026-01-10 11:06:33.635000+05:30,2026-01-10,Saturday,'11:06:33.635000
48b53b6c-6ba1-4055-9290-91670a932068,Session Started,system,2026-01-10 11:06:34.048000+05:30,2026-01-10,Saturday,'11:06:34.048000
48b53b6c-6ba1-4055-9290-91670a932068,App Installed,system,2026-01-10 11:06:34.400000+05:30,2026-01-10,Saturday,'11:06:34.400000
48b53b6c-6ba1-4055-9290-91670a932068,app_start,application,2026-01-10 11:06:34.519000+05:30,2026-01-10,Saturday,'11:06:34.519000
48b53b6c-6ba1-4055-9290-91670a932068,Push Subscribe Process - Device Registered (Push),system,2026-01-10 11:06:35.297000+05:30,2026-01-10,Saturday,'11:06:35.297000
48b53b6c-6ba1-4055-9290-91670a932068,Journey Started,system,2026-01-10 11:06:35.745000+05:30,2026-01-10,Saturday,'11:06:35.745000
48b53b6c-6ba1-4055-9290-91670a932068,choose_language,application,2026-01-10 11:06:38.467000+05:30,2026-01-10,Saturday,'11:06:38.467000
48b53b6c-6ba1-4055-9290-91670a932068,Onboarding_Language,application,2026-01-10 11:06:38.481000+05:30,2026-01-10,Saturday,'11:06:38.481000
48b53b6c-6ba1-4055-9290-91670a932068,choose_language,application,2026-01-10 11:06:39.416000+05:30,2026-01-10,Saturday,'11:06:39.416000
48b53b6c-6ba1-4055-9290-91670a932068,Onboarding_Language,application,2026-01-10 11:06:39.440000+05:30,2026-01-10,Saturday,'11:06:39.440000
48b53b6c-6ba1-4055-9290-91670a932068,choose_language,application,2026-01-10 11:06:40.413000+05:30,2026-01-10,Saturday,'11:06:40.413000
48b53b6c-6ba1-4055-9290-91670a932068,Onboarding_Language,application,2026-01-10 11:06:40.425000+05:30,2026-01-10,Saturday,'11:06:40.425000
48b53b6c-6ba1-4055-9290-91670a932068,Journey Started,system,2026-01-10 11:06:40.568000+05:30,2026-01-10,Saturday,'11:06:40.568000
