user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ee221c97-435f-44f0-9974-0878fd6ba1a3,DeviceInfo,application,2026-01-01 12:27:43.802000+05:30,2026-01-01,Thursday,'12:27:43.802000
ee221c97-435f-44f0-9974-0878fd6ba1a3,App Installed,system,2026-01-01 12:27:44.200000+05:30,2026-01-01,Thursday,'12:27:44.200000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Session Started,system,2026-01-01 12:27:44.200000+05:30,2026-01-01,Thursday,'12:27:44.200000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Journey Started,system,2026-01-01 12:27:44.300000+05:30,2026-01-01,Thursday,'12:27:44.300000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Push Subscribe Process - Device Registered (Push),system,2026-01-01 12:27:47.236000+05:30,2026-01-01,Thursday,'12:27:47.236000
ee221c97-435f-44f0-9974-0878fd6ba1a3,app_start,application,2026-01-01 12:27:48.146000+05:30,2026-01-01,Thursday,'12:27:48.146000
ee221c97-435f-44f0-9974-0878fd6ba1a3,choose_language,application,2026-01-01 12:27:52.212000+05:30,2026-01-01,Thursday,'12:27:52.212000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Onboarding_Language,application,2026-01-01 12:27:52.219000+05:30,2026-01-01,Thursday,'12:27:52.219000
ee221c97-435f-44f0-9974-0878fd6ba1a3,generate_otp,application,2026-01-01 12:28:04.022000+05:30,2026-01-01,Thursday,'12:28:04.022000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Onboarding_get_otp,application,2026-01-01 12:28:04.095000+05:30,2026-01-01,Thursday,'12:28:04.095000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Journey Ended,system,2026-01-01 12:28:04.123000+05:30,2026-01-01,Thursday,'12:28:04.123000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Journey Started,system,2026-01-01 12:28:04.123000+05:30,2026-01-01,Thursday,'12:28:04.123000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_auth_generate-otp,application,2026-01-01 12:28:05.635000+05:30,2026-01-01,Thursday,'12:28:05.635000
ee221c97-435f-44f0-9974-0878fd6ba1a3,get_otp,application,2026-01-01 12:28:05.652000+05:30,2026-01-01,Thursday,'12:28:05.652000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Onboarding_signup_,application,2026-01-01 12:28:05.671000+05:30,2026-01-01,Thursday,'12:28:05.671000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_auth_verify-otp,application,2026-01-01 12:28:08.326000+05:30,2026-01-01,Thursday,'12:28:08.326000
ee221c97-435f-44f0-9974-0878fd6ba1a3,verify_otp,application,2026-01-01 12:28:08.326000+05:30,2026-01-01,Thursday,'12:28:08.326000
ee221c97-435f-44f0-9974-0878fd6ba1a3,enter_otp,application,2026-01-01 12:28:08.950000+05:30,2026-01-01,Thursday,'12:28:08.950000
ee221c97-435f-44f0-9974-0878fd6ba1a3,User Login,system,2026-01-01 12:28:09.374000+05:30,2026-01-01,Thursday,'12:28:09.374000
ee221c97-435f-44f0-9974-0878fd6ba1a3,login,application,2026-01-01 12:28:09.521000+05:30,2026-01-01,Thursday,'12:28:09.521000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_user,application,2026-01-01 12:28:09.585000+05:30,2026-01-01,Thursday,'12:28:09.585000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_location_from-town,application,2026-01-01 12:28:09.983000+05:30,2026-01-01,Thursday,'12:28:09.983000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Onboarding_Profile Saved,application,2026-01-01 12:28:11.249000+05:30,2026-01-01,Thursday,'12:28:11.249000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_user,application,2026-01-01 12:28:12.271000+05:30,2026-01-01,Thursday,'12:28:12.271000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_user_device,application,2026-01-01 12:28:14.590000+05:30,2026-01-01,Thursday,'12:28:14.590000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_history_recommended-journey,application,2026-01-01 12:28:14.590000+05:30,2026-01-01,Thursday,'12:28:14.590000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_location_from-town,application,2026-01-01 12:28:14.590000+05:30,2026-01-01,Thursday,'12:28:14.590000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_user,application,2026-01-01 12:28:14.591000+05:30,2026-01-01,Thursday,'12:28:14.591000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_ticket,application,2026-01-01 12:28:15.758000+05:30,2026-01-01,Thursday,'12:28:15.758000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_location_special-town-search,application,2026-01-01 12:28:15.776000+05:30,2026-01-01,Thursday,'12:28:15.776000
ee221c97-435f-44f0-9974-0878fd6ba1a3,_location_elastic-town-search,application,2026-01-01 12:28:28.146000+05:30,2026-01-01,Thursday,'12:28:28.146000
ee221c97-435f-44f0-9974-0878fd6ba1a3,Push Failure,system,2026-01-02 12:28:04.010000+05:30,2026-01-02,Friday,'12:28:04.010000
